code,name,external_id,owner__name,collection_date (SAMPLE_COLLECTION.EDA:1149),results_completed_at,Undecylic Acid (C11:0),Undecylic Acid (C11:0) unit,Free Riboflavin,Free Riboflavin unit,Alpha-Tocopherol,Alpha-Tocopherol unit,Arsenic,Arsenic unit,Protein,Protein unit,Pentadecanoic Acid (C15:0),Pentadecanoic Acid (C15:0) unit,Cobalt,Cobalt unit,Cadmium,Cadmium unit,Heptadecanoic Acid (C17:0),Heptadecanoic Acid (C17:0) unit,Saturated Fat (SFA),Saturated Fat (SFA) unit,Calcium,Calcium unit,Iron,Iron unit,Sodium,Sodium unit,Free Niacin,Free Niacin unit,Free Thiamin,Free Thiamin unit,Vitamin E,Vitamin E unit,Cholesterol,Cholesterol unit,Pyridoxine,Pyridoxine unit,Selenium,Selenium unit,Potassium,Potassium unit,Tridecylic Acid (C13:0),Tridecylic Acid (C13:0) unit,Phosphorus,Phosphorus unit,Vitamin A,Vitamin A unit,Zinc,Zinc unit,Sulfur,Sulfur unit,Mercury,Mercury unit,Copper,Copper unit,Magnesium,Magnesium unit,Manganese,Manganese unit,Tricosanoic Acid (C23:0),Tricosanoic Acid (C23:0) unit,Butyric acid (C4:0),Butyric acid (C4:0) unit,Caproic Acid (C6:0),Caproic Acid (C6:0) unit,Caprylic acid (C8:0),Caprylic acid (C8:0) unit,Capric Acid (C10:0),Capric Acid (C10:0) unit,Lauric Acid (C12:0),Lauric Acid (C12:0) unit,Myristic Acid (C14:0),Myristic Acid (C14:0) unit,10-Pentadecenoic Acid (C15:1 cis-10),10-Pentadecenoic Acid (C15:1 cis-10) unit,Palmitic Acid (C16:0),Palmitic Acid (C16:0) unit,Palmitoleic Acid (C16:1 cis-9),Palmitoleic Acid (C16:1 cis-9) unit,Heptadecenoic Acid (C17:1 cis-10),Heptadecenoic Acid (C17:1 cis-10) unit,Stearic Acid (C18:0),Stearic Acid (C18:0) unit,"Linoleic Acid (C18:2 cis-9,12)","Linoleic Acid (C18:2 cis-9,12) unit","Gamma Linolenic Acid (C18:3 cis-6,9,12)","Gamma Linolenic Acid (C18:3 cis-6,9,12) unit",Arachidic Acid (C20:0),Arachidic Acid (C20:0) unit,Gondoic Acid (C20:1 cis-11),Gondoic Acid (C20:1 cis-11) unit,"Icosadienoic Acid (C20:2 cis-11,14)","Icosadienoic Acid (C20:2 cis-11,14) unit","Dihomo-Gamma Linolenic Acid (C20:3 cis-8,11,14)","Dihomo-Gamma Linolenic Acid (C20:3 cis-8,11,14) unit","Icosatrienoic Acid (C20:3 cis-11,14,17)","Icosatrienoic Acid (C20:3 cis-11,14,17) unit","Arachidonic Acid (C20:4 cis-5,8,11,14)","Arachidonic Acid (C20:4 cis-5,8,11,14) unit","Eicosapentaenoic acid (EPA) (C20:5 cis-5,8,11,14,17)","Eicosapentaenoic acid (EPA) (C20:5 cis-5,8,11,14,17) unit",Henicosanoic Acid (C21:0),Henicosanoic Acid (C21:0) unit,Behenic acid (C22:0),Behenic acid (C22:0) unit,"Docosadienoic Acid (C22:2 cis-13,16)","Docosadienoic Acid (C22:2 cis-13,16) unit",Lignoceric Acid (C24:0),Lignoceric Acid (C24:0) unit,Nervonic Acid (C24:1 cis-15),Nervonic Acid (C24:1 cis-15) unit,"Docosahexaenoic Acid (DHA) (C22:6 cis-4,7,10,13,16,19)","Docosahexaenoic Acid (DHA) (C22:6 cis-4,7,10,13,16,19) unit",Free Niacinamide,Free Niacinamide unit,Myristoleic Acid (C14:1 cis-9),Myristoleic Acid (C14:1 cis-9) unit,"Linoelaidic Acid (C18:2 trans-9,12)","Linoelaidic Acid (C18:2 trans-9,12) unit",Erucic Acid (C22:1 cis-13),Erucic Acid (C22:1 cis-13) unit,Lead,Lead unit,Cholecalciferol (Vitamin D3),Cholecalciferol (Vitamin D3) unit,Retinol,Retinol unit,Total Fats,Total Fats unit,Monounsaturated Fat (MUFA),Monounsaturated Fat (MUFA) unit,Polyunsaturated Fat (PUFA),Polyunsaturated Fat (PUFA) unit,Omega-6,Omega-6 unit,Omega-3,Omega-3 unit,Omega 6:3 Ratio,Omega 6:3 Ratio unit,Nickel,Nickel unit,Free Pantothenic Acid,Free Pantothenic Acid unit,Free Pyridoxal,Free Pyridoxal unit,"Rumenic Acid (C18:2 cis-9, trans-11)","Rumenic Acid (C18:2 cis-9, trans-11) unit",Moisture,Moisture unit,Total Micronutrients,Total Micronutrients unit,Vitamin D,Vitamin D unit,Ergocalciferol (Vitamin D2),Ergocalciferol (Vitamin D2) unit,Palmitelaidic Acid (C16:1 trans-9),Palmitelaidic Acid (C16:1 trans-9) unit,Vitamin B6 (Pyridoxal),Vitamin B6 (Pyridoxal) unit,Trans Fatty Acids (TFA),Trans Fatty Acids (TFA) unit,Conjugated Linoleic Acids,Conjugated Linoleic Acids unit,"Alpha Linolenic Acid (ALA) (C18:3 cis-9,12,15)","Alpha Linolenic Acid (ALA) (C18:3 cis-9,12,15) unit",Vitamin B1 (Thiamin),Vitamin B1 (Thiamin) unit,Vitamin B2 (Riboflavin),Vitamin B2 (Riboflavin) unit,"Niacin, Total","Niacin, Total unit",Vitamin B5 (Pantothenic Acid),Vitamin B5 (Pantothenic Acid) unit,Total Fatty Acids,Total Fatty Acids unit,"Stearidonic Acid (C18:4 cis-6,9,12,15)","Stearidonic Acid (C18:4 cis-6,9,12,15) unit","Conjugated Linoleic Acid (C18:2 trans-10, cis-12)","Conjugated Linoleic Acid (C18:2 trans-10, cis-12) unit","Heneicosapentaenoic Acid (C21:5 cis-6,9,12,15,18)","Heneicosapentaenoic Acid (C21:5 cis-6,9,12,15,18) unit","Docosatetraenoic Acid (C22:4 cis-4,10,13,16)","Docosatetraenoic Acid (C22:4 cis-4,10,13,16) unit","Docosatrienoic Acid (C22:3 cis-10,13,16)","Docosatrienoic Acid (C22:3 cis-10,13,16) unit","Docosapentaenoic Acid (C22:5 cis-4,7,10,13,16)","Docosapentaenoic Acid (C22:5 cis-4,7,10,13,16) unit","Docosapentaenoic Acid (C22:5 cis-7,10,13,16,19)","Docosapentaenoic Acid (C22:5 cis-7,10,13,16,19) unit",Total Minerals,Total Minerals unit,Total Vitamins,Total Vitamins unit,Total Heavy Metals,Total Heavy Metals unit,Pyridoxamine,Pyridoxamine unit,"C18:1, trans total","C18:1, trans total unit","C18:1, cis total","C18:1, cis total unit","C20:1, trans-11","C20:1, trans-11 unit",Thiamin Monophosphate,Thiamin Monophosphate unit,Thiamin Diphosphate,Thiamin Diphosphate unit,HMP Thiamin Derivative,HMP Thiamin Derivative unit,Flavin Mononucleotide (FMN),Flavin Mononucleotide (FMN) unit,Flavin Adenine Dinucleotide (FAD),Flavin Adenine Dinucleotide (FAD) unit,Pyridoxal Phosphate,Pyridoxal Phosphate unit,Unsaturated Fat,Unsaturated Fat unit,4-pyridoxic Acid,4-pyridoxic Acid unit,PUFA:SFA Ratio,PUFA:SFA Ratio unit,Fat:Protein Ratio,Fat:Protein Ratio unit,Sodium:Potassium Ratio,Sodium:Potassium Ratio unit,"Vitamin B3 (Niacin, NE)","Vitamin B3 (Niacin, NE) unit"
V2LE3,Black Tiger Shrimp,,Seatopia,,2026-03-26,0.00003219,g/100g,0.00546798,mg/100g,1.138993521,mg/100g,93.9,mcg/100g,18.3,g/100g,0.00313317,g/100g,<LOQ,mcg/100g,<LOQ,mcg/100g,0.01376066,g/100g,0.2113762,g/100g,77.4213,mg/100g,0.1455,mg/100g,241.2287,mg/100g,1.64834625,mg/100g,2.35055,mcg/100g,1.138993521,mg/100g,123.5773706,mg/100g,0.00023795,mg/100g,14.0,mcg/100g,170.2619,mg/100g,0.00002726,g/100g,187.4319,mg/100g,0,mcg rae/100g,0.8793,mg/100g,200.5796,mg/100g,<LOQ,mcg/100g,0.1922,mg/100g,38.1008,mg/100g,0.0144,mg/100g,0.00068386,g/100g,0.00366302,g/100g,0.0002819,g/100g,0.00012961,g/100g,0.00045266,g/100g,0.00020704,g/100g,0.0202463,g/100g,<LOQ,g/100g,0.08107108,g/100g,0.00506878,g/100g,<LOQ,g/100g,0.07773759,g/100g,0.03017119,g/100g,0.00036851,g/100g,0.00400812,g/100g,0.00038728,g/100g,0.00151887,g/100g,0.00073191,g/100g,0.0008379,g/100g,0.03329392,g/100g,0.0183731,g/100g,0.00119979,g/100g,0.00386501,g/100g,<LOQ,g/100g,0.00087691,g/100g,<LOQ,g/100g,0.021136,g/100g,0.02020111,mg/100g,<LOQ,g/100g,<LOQ,g/100g,0.00058911,g/100g,<LOQ,mcg/100g,<LOQ,mcg/100g,<LOQ,mcg rae/100g,1.21,g/100g,0.05745723,g/100g,0.122000,g/100g,0.0692041,g/100g,0.052796,g/100g,1.31080,#,<LOQ,mcg/100g,0.19107271,mg/100g,0.0075429,mg/100g,<LOQ,g/100g,81.33,g/100g,0.9192838,g/100g,0,mcg/100g,<LOQ,mcg/100g,<LOQ,g/100g,0.1380603,mg/100g,0.00552165,g/100g,0,g/100g,0.0093452,g/100g,0.00461562,mg/100g,0.02154901,mg/100g,1.66871099,mg/100g,0.19107271,mg/100g,0.396355,g/100g,0.00035122,g/100g,<LOQ,g/100g,0.00052926,g/100g,<LOQ,g/100g,0.0008535,g/100g,0.00226622,g/100g,0.00222284,g/100g,0.9162696,g/100g,0.0030142130,g/100g,93.9,mcg/100g,0.00245969,mg/100g,0.00552165,g/100g,0.05141206,g/100g,<LOQ,g/100g,0.00294777,mg/100g,<LOQ,mg/100g,0.00796254,mg/100g,0.01230576,mg/100g,0.01238252,mg/100g,0.18896875,mg/100g,0.184979,g/100g,0.00033326,mg/100g,0.577168,#,0.066,#,1.416810,#,1.66871099,mg ne/100g
JQN4H,Black Tiger Shrimp,,Seatopia,,2026-03-26,0.0000411,g/100g,0.0065719,mg/100g,1.006414066,mg/100g,69.0,mcg/100g,18.1,g/100g,0.0013802,g/100g,<LOQ,mcg/100g,<LOQ,mcg/100g,0.00598536,g/100g,0.1372659,g/100g,75.0355,mg/100g,0.2145,mg/100g,276.8192,mg/100g,1.94167015,mg/100g,7.98492,mcg/100g,1.006414066,mg/100g,130.1026466,mg/100g,0.00016168,mg/100g,13.6,mcg/100g,212.0388,mg/100g,0.00002982,g/100g,204.4878,mg/100g,0,mcg rae/100g,0.9239,mg/100g,230.8304,mg/100g,<LOQ,mcg/100g,0.2351,mg/100g,42.4318,mg/100g,0.0142,mg/100g,0.00032983,g/100g,0.00465053,g/100g,0.00026047,g/100g,0.00012203,g/100g,0.0002151,g/100g,0.0001857,g/100g,0.02099239,g/100g,<LOQ,g/100g,0.05556043,g/100g,0.00101103,g/100g,<LOQ,g/100g,0.04291584,g/100g,0.01996322,g/100g,<LOQ,g/100g,0.00181709,g/100g,<LOQ,g/100g,0.00044376,g/100g,0.00057968,g/100g,<LOQ,g/100g,0.01255375,g/100g,0.00829416,g/100g,0.00058311,g/100g,0.00166144,g/100g,<LOQ,g/100g,0.0005355,g/100g,<LOQ,g/100g,0.01817692,g/100g,0.02201692,mg/100g,<LOQ,g/100g,<LOQ,g/100g,0.0003202,g/100g,<LOQ,mcg/100g,<LOQ,mcg/100g,<LOQ,mcg rae/100g,1.71,g/100g,0.0351300,g/100g,0.065713,g/100g,0.03395237,g/100g,0.031761,g/100g,1.06901,#,<LOQ,mcg/100g,0.24228742,mg/100g,0.00963746,mg/100g,<LOQ,g/100g,81.4,g/100g,1.0462815,g/100g,0,mcg/100g,<LOQ,mcg/100g,<LOQ,g/100g,0.12414105,mg/100g,0.0031424,g/100g,0,g/100g,0.004859,g/100g,0.01056684,mg/100g,0.0223811,mg/100g,1.96386541,mg/100g,0.24228742,mg/100g,0.241251,g/100g,<LOQ,g/100g,<LOQ,g/100g,<LOQ,g/100g,<LOQ,g/100g,<LOQ,g/100g,0.00041196,g/100g,0.00043051,g/100g,1.0430448,g/100g,0.0032367445,g/100g,69.0,mcg/100g,0.00258887,mg/100g,0.0031424,g/100g,0.03379873,g/100g,<LOQ,g/100g,0.00336012,mg/100g,<LOQ,mg/100g,0.00947069,mg/100g,0.01107257,mg/100g,0.01393789,mg/100g,0.16521874,mg/100g,0.103985,g/100g,0.0006829,mg/100g,0.478727,#,0.094,#,1.305512,#,1.96386541,mg ne/100g
HWK72,Black Tiger Shrimp,,Seatopia,,2026-03-26,0.00001636,g/100g,0.00128221,mg/100g,1.148769009,mg/100g,133.8,mcg/100g,18.5,g/100g,0.00318701,g/100g,<LOQ,mcg/100g,<LOQ,mcg/100g,0.01549059,g/100g,0.22998976,g/100g,78.8035,mg/100g,0.3304,mg/100g,266.2752,mg/100g,1.77035958,mg/100g,4.92986,mcg/100g,1.148769009,mg/100g,131.2331865,mg/100g,0.00015535,mg/100g,20.0,mcg/100g,155.5680,mg/100g,0.00004219,g/100g,182.6396,mg/100g,0,mcg rae/100g,0.8058,mg/100g,229.2473,mg/100g,<LOQ,mcg/100g,0.1825,mg/100g,38.3979,mg/100g,0.0177,mg/100g,0.00082437,g/100g,0.00204636,g/100g,0.00021134,g/100g,0.00009337,g/100g,0.00030733,g/100g,0.00020252,g/100g,0.01550505,g/100g,<LOQ,g/100g,0.08960108,g/100g,0.00637393,g/100g,0.00032541,g/100g,0.08917576,g/100g,0.02810334,g/100g,0.00043416,g/100g,0.00522214,g/100g,0.00044926,g/100g,0.00244011,g/100g,0.00139108,g/100g,0.00151796,g/100g,0.04017625,g/100g,0.02478236,g/100g,0.00123569,g/100g,0.00559212,g/100g,<LOQ,g/100g,0.00123648,g/100g,<LOQ,g/100g,0.01942013,g/100g,0.00099063,mg/100g,<LOQ,g/100g,<LOQ,g/100g,0.00036598,g/100g,<LOQ,mcg/100g,<LOQ,mcg/100g,<LOQ,mcg rae/100g,1.33,g/100g,0.06251699,g/100g,0.13572471,g/100g,0.07608043,g/100g,0.05964428,g/100g,1.2755696,#,<LOQ,mcg/100g,0.16246973,mg/100g,0.00760083,mg/100g,<LOQ,g/100g,80.81,g/100g,0.9553845,g/100g,0,mcg/100g,<LOQ,mcg/100g,<LOQ,g/100g,0.13477202,mg/100g,0.00757563,g/100g,0,g/100g,0.00959451,g/100g,0.00718614,mg/100g,0.02214665,mg/100g,1.77135823,mg/100g,0.16246973,mg/100g,0.43580709,g/100g,0.00058877,g/100g,<LOQ,g/100g,0.00047416,g/100g,<LOQ,g/100g,0.00101091,g/100g,0.00252458,g/100g,0.00326639,g/100g,0.9522879,g/100g,0.00309655720,g/100g,133.8,mcg/100g,0.00229406,mg/100g,0.00757563,g/100g,0.05500241,g/100g,<LOQ,g/100g,0.00293633,mg/100g,<LOQ,mg/100g,0.00793862,mg/100g,0.01160637,mg/100g,0.02357059,mg/100g,0.18438637,mg/100g,0.20581733,g/100g,0.00029838,mg/100g,0.59013371,#,0.072,#,1.711632,#,1.77135823,mg ne/100g
