code,name,external_id,owner__name,collection_date (SAMPLE_COLLECTION.EDA:1149),results_completed_at,Undecylic Acid (C11:0),Undecylic Acid (C11:0) unit,Free Riboflavin,Free Riboflavin unit,Alpha-Tocopherol,Alpha-Tocopherol unit,Arsenic,Arsenic unit,Protein,Protein unit,Pentadecanoic Acid (C15:0),Pentadecanoic Acid (C15:0) unit,Cobalt,Cobalt unit,Cadmium,Cadmium unit,Heptadecanoic Acid (C17:0),Heptadecanoic Acid (C17:0) unit,Saturated Fat (SFA),Saturated Fat (SFA) unit,Calcium,Calcium unit,Iron,Iron unit,Sodium,Sodium unit,Free Niacin,Free Niacin unit,Free Thiamin,Free Thiamin unit,Vitamin E,Vitamin E unit,Cholesterol,Cholesterol unit,Pyridoxine,Pyridoxine unit,Selenium,Selenium unit,Potassium,Potassium unit,Tridecylic Acid (C13:0),Tridecylic Acid (C13:0) unit,Phosphorus,Phosphorus unit,Vitamin A,Vitamin A unit,Zinc,Zinc unit,Sulfur,Sulfur unit,Mercury,Mercury unit,Copper,Copper unit,Magnesium,Magnesium unit,Manganese,Manganese unit,Tricosanoic Acid (C23:0),Tricosanoic Acid (C23:0) unit,Butyric acid (C4:0),Butyric acid (C4:0) unit,Caproic Acid (C6:0),Caproic Acid (C6:0) unit,Caprylic acid (C8:0),Caprylic acid (C8:0) unit,Capric Acid (C10:0),Capric Acid (C10:0) unit,Lauric Acid (C12:0),Lauric Acid (C12:0) unit,Myristic Acid (C14:0),Myristic Acid (C14:0) unit,10-Pentadecenoic Acid (C15:1 cis-10),10-Pentadecenoic Acid (C15:1 cis-10) unit,Palmitic Acid (C16:0),Palmitic Acid (C16:0) unit,Palmitoleic Acid (C16:1 cis-9),Palmitoleic Acid (C16:1 cis-9) unit,Heptadecenoic Acid (C17:1 cis-10),Heptadecenoic Acid (C17:1 cis-10) unit,Stearic Acid (C18:0),Stearic Acid (C18:0) unit,"Linoleic Acid (C18:2 cis-9,12)","Linoleic Acid (C18:2 cis-9,12) unit","Gamma Linolenic Acid (C18:3 cis-6,9,12)","Gamma Linolenic Acid (C18:3 cis-6,9,12) unit",Arachidic Acid (C20:0),Arachidic Acid (C20:0) unit,Gondoic Acid (C20:1 cis-11),Gondoic Acid (C20:1 cis-11) unit,"Icosadienoic Acid (C20:2 cis-11,14)","Icosadienoic Acid (C20:2 cis-11,14) unit","Dihomo-Gamma Linolenic Acid (C20:3 cis-8,11,14)","Dihomo-Gamma Linolenic Acid (C20:3 cis-8,11,14) unit","Icosatrienoic Acid (C20:3 cis-11,14,17)","Icosatrienoic Acid (C20:3 cis-11,14,17) unit","Arachidonic Acid (C20:4 cis-5,8,11,14)","Arachidonic Acid (C20:4 cis-5,8,11,14) unit","Eicosapentaenoic acid (EPA) (C20:5 cis-5,8,11,14,17)","Eicosapentaenoic acid (EPA) (C20:5 cis-5,8,11,14,17) unit",Henicosanoic Acid (C21:0),Henicosanoic Acid (C21:0) unit,Behenic acid (C22:0),Behenic acid (C22:0) unit,"Docosadienoic Acid (C22:2 cis-13,16)","Docosadienoic Acid (C22:2 cis-13,16) unit",Lignoceric Acid (C24:0),Lignoceric Acid (C24:0) unit,Nervonic Acid (C24:1 cis-15),Nervonic Acid (C24:1 cis-15) unit,"Docosahexaenoic Acid (DHA) (C22:6 cis-4,7,10,13,16,19)","Docosahexaenoic Acid (DHA) (C22:6 cis-4,7,10,13,16,19) unit",Free Niacinamide,Free Niacinamide unit,Myristoleic Acid (C14:1 cis-9),Myristoleic Acid (C14:1 cis-9) unit,"Linoelaidic Acid (C18:2 trans-9,12)","Linoelaidic Acid (C18:2 trans-9,12) unit",Erucic Acid (C22:1 cis-13),Erucic Acid (C22:1 cis-13) unit,Lead,Lead unit,Cholecalciferol (Vitamin D3),Cholecalciferol (Vitamin D3) unit,Retinol,Retinol unit,Total Fats,Total Fats unit,Monounsaturated Fat (MUFA),Monounsaturated Fat (MUFA) unit,Polyunsaturated Fat (PUFA),Polyunsaturated Fat (PUFA) unit,Omega-6,Omega-6 unit,Omega-3,Omega-3 unit,Omega 6:3 Ratio,Omega 6:3 Ratio unit,Nickel,Nickel unit,Free Pantothenic Acid,Free Pantothenic Acid unit,Free Pyridoxal,Free Pyridoxal unit,"Rumenic Acid (C18:2 cis-9, trans-11)","Rumenic Acid (C18:2 cis-9, trans-11) unit",Moisture,Moisture unit,Total Micronutrients,Total Micronutrients unit,Vitamin D,Vitamin D unit,Ergocalciferol (Vitamin D2),Ergocalciferol (Vitamin D2) unit,Palmitelaidic Acid (C16:1 trans-9),Palmitelaidic Acid (C16:1 trans-9) unit,Vitamin B6 (Pyridoxal),Vitamin B6 (Pyridoxal) unit,Trans Fatty Acids (TFA),Trans Fatty Acids (TFA) unit,Conjugated Linoleic Acids,Conjugated Linoleic Acids unit,"Alpha Linolenic Acid (ALA) (C18:3 cis-9,12,15)","Alpha Linolenic Acid (ALA) (C18:3 cis-9,12,15) unit",Vitamin B1 (Thiamin),Vitamin B1 (Thiamin) unit,Vitamin B2 (Riboflavin),Vitamin B2 (Riboflavin) unit,"Niacin, Total","Niacin, Total unit",Vitamin B5 (Pantothenic Acid),Vitamin B5 (Pantothenic Acid) unit,Total Fatty Acids,Total Fatty Acids unit,"Stearidonic Acid (C18:4 cis-6,9,12,15)","Stearidonic Acid (C18:4 cis-6,9,12,15) unit","Conjugated Linoleic Acid (C18:2 trans-10, cis-12)","Conjugated Linoleic Acid (C18:2 trans-10, cis-12) unit","Heneicosapentaenoic Acid (C21:5 cis-6,9,12,15,18)","Heneicosapentaenoic Acid (C21:5 cis-6,9,12,15,18) unit","Docosatetraenoic Acid (C22:4 cis-4,10,13,16)","Docosatetraenoic Acid (C22:4 cis-4,10,13,16) unit","Docosatrienoic Acid (C22:3 cis-10,13,16)","Docosatrienoic Acid (C22:3 cis-10,13,16) unit","Docosapentaenoic Acid (C22:5 cis-4,7,10,13,16)","Docosapentaenoic Acid (C22:5 cis-4,7,10,13,16) unit","Docosapentaenoic Acid (C22:5 cis-7,10,13,16,19)","Docosapentaenoic Acid (C22:5 cis-7,10,13,16,19) unit",Total Minerals,Total Minerals unit,Total Vitamins,Total Vitamins unit,Total Heavy Metals,Total Heavy Metals unit,Pyridoxamine,Pyridoxamine unit,"C18:1, trans total","C18:1, trans total unit","C18:1, cis total","C18:1, cis total unit","C20:1, trans-11","C20:1, trans-11 unit",Thiamin Monophosphate,Thiamin Monophosphate unit,Thiamin Diphosphate,Thiamin Diphosphate unit,HMP Thiamin Derivative,HMP Thiamin Derivative unit,Flavin Mononucleotide (FMN),Flavin Mononucleotide (FMN) unit,Flavin Adenine Dinucleotide (FAD),Flavin Adenine Dinucleotide (FAD) unit,Pyridoxal Phosphate,Pyridoxal Phosphate unit,Unsaturated Fat,Unsaturated Fat unit,4-pyridoxic Acid,4-pyridoxic Acid unit,PUFA:SFA Ratio,PUFA:SFA Ratio unit,Fat:Protein Ratio,Fat:Protein Ratio unit,Sodium:Potassium Ratio,Sodium:Potassium Ratio unit,"Vitamin B3 (Niacin, NE)","Vitamin B3 (Niacin, NE) unit"
NCXF2,Trout Hot Dog,,Seatopia,,2026-03-26,0.00014519,g/100g,0.13613581,mg/100g,2.076886278,mg/100g,7.8,mcg/100g,18.1,g/100g,0.02904029,g/100g,0.55,mcg/100g,<LOQ,mcg/100g,0.03327545,g/100g,4.8889712,g/100g,57.3912,mg/100g,0.7516,mg/100g,659.8740,mg/100g,0.440035,mg/100g,95.31561,mcg/100g,2.076886278,mg/100g,57.69729578,mg/100g,0.00551574,mg/100g,20.7,mcg/100g,372.5054,mg/100g,0.00181916,g/100g,230.3720,mg/100g,71.70539294,mcg rae/100g,0.1377,mg/100g,203.7105,mg/100g,<LOQ,mcg/100g,0.0493,mg/100g,30.8565,mg/100g,0.0636,mg/100g,0.00655084,g/100g,0.00436389,g/100g,0.00081918,g/100g,0.00068568,g/100g,0.00105744,g/100g,0.00899538,g/100g,0.23443424,g/100g,<LOQ,g/100g,3.6837749,g/100g,0.4660796,g/100g,0.00721547,g/100g,0.77978354,g/100g,4.72830692,g/100g,0.06839163,g/100g,0.04951916,g/100g,0.26350807,g/100g,0.16020793,g/100g,0.08353992,g/100g,0.10962111,g/100g,0.14827975,g/100g,0.61313165,g/100g,0.00557637,g/100g,0.03284753,g/100g,0.02446379,g/100g,0.01628292,g/100g,0.0365467,g/100g,1.70062011,g/100g,2.98863518,mg/100g,0.00573612,g/100g,<LOQ,g/100g,0.12452245,g/100g,<LOQ,mcg/100g,25.48210882,mcg/100g,71.70539294,mcg rae/100g,21.86,g/100g,9.6957623,g/100g,11.82722768,g/100g,5.31347613,g/100g,6.51375155,g/100g,0.815732085,#,<LOQ,mcg/100g,1.03619799,mg/100g,0.02933624,mg/100g,0.01713334,g/100g,53.71,g/100g,1.5626377,g/100g,25.48210882,mcg/100g,<LOQ,mcg/100g,<LOQ,g/100g,0.05016827,mg/100g,0.04091994,g/100g,0.01713334,g/100g,3.62559084,g/100g,0.10040763,mg/100g,0.14893724,mg/100g,3.452878,mg/100g,1.03619799,mg/100g,26.4700144,g/100g,0.16024743,g/100g,<LOQ,g/100g,0.02114642,g/100g,<LOQ,g/100g,0.01405027,g/100g,0.08623592,g/100g,0.28339399,g/100g,1.5557325,g/100g,0.006905245,g/100g,8.4,mcg/100g,0.00185362,mg/100g,0.03478223,g/100g,8.79215386,g/100g,0.00613771,g/100g,0.00662678,mg/100g,<LOQ,mg/100g,0.00316575,mg/100g,0.01508935,mg/100g,0.00074566,mg/100g,0.02001312,mg/100g,21.5810432,g/100g,0.00816017,mg/100g,2.4226694,#,1.21,#,1.771448,#,3.452878,mg ne/100g
4NT5C,Trout Hot Dog,,Seatopia,,2026-03-26,0.00012363,g/100g,0.1371794,mg/100g,2.380657458,mg/100g,7.7,mcg/100g,17.3,g/100g,0.02526989,g/100g,0.57,mcg/100g,<LOQ,mcg/100g,0.02855795,g/100g,4.01907960,g/100g,56.6853,mg/100g,0.8036,mg/100g,667.9644,mg/100g,0.36346034,mg/100g,87.15491,mcg/100g,2.380657458,mg/100g,54.41927725,mg/100g,0.00537734,mg/100g,19.1,mcg/100g,388.8236,mg/100g,0.00160395,g/100g,233.7862,mg/100g,76.20755295,mcg rae/100g,0.2044,mg/100g,207.9462,mg/100g,<LOQ,mcg/100g,0.0481,mg/100g,32.0107,mg/100g,0.0589,mg/100g,0.00444362,g/100g,0.00524066,g/100g,0.00084591,g/100g,0.00068583,g/100g,0.00109198,g/100g,0.00868502,g/100g,0.23316158,g/100g,<LOQ,g/100g,2.98037406,g/100g,0.43961032,g/100g,0.00594228,g/100g,0.65057161,g/100g,3.72393249,g/100g,0.06159842,g/100g,0.03915033,g/100g,0.2179534,g/100g,0.13631505,g/100g,0.07023906,g/100g,0.0897612,g/100g,0.13053233,g/100g,0.56200812,g/100g,0.00380248,g/100g,0.02412745,g/100g,0.01765214,g/100g,0.01134365,g/100g,0.0334335,g/100g,1.49346943,g/100g,2.85344206,mg/100g,0.0056578,g/100g,<LOQ,g/100g,0.10736304,g/100g,<LOQ,mcg/100g,33.15037736,mcg/100g,76.20755295,mcg rae/100g,20.88,g/100g,7.5591005,g/100g,9.6529040,g/100g,4.22560273,g/100g,5.4273013,g/100g,0.77858267,#,<LOQ,mcg/100g,1.01360611,mg/100g,0.02762844,mg/100g,0.01923551,g/100g,55.7,g/100g,1.5953284,g/100g,33.15037736,mcg/100g,<LOQ,mcg/100g,<LOQ,g/100g,0.04606290,mg/100g,0.04481814,g/100g,0.01923551,g/100g,2.85881011,g/100g,0.09222246,mg/100g,0.1764398,mg/100g,3.24001528,mg/100g,1.01360611,mg/100g,21.2951377,g/100g,0.14967839,g/100g,<LOQ,g/100g,0.02096876,g/100g,<LOQ,g/100g,0.01117593,g/100g,0.07415731,g/100g,0.25260525,g/100g,1.5883505,g/100g,0.0069778640,g/100g,8.3,mcg/100g,0.00171541,mg/100g,0.03893413,g/100g,6.74914016,g/100g,0.00588401,g/100g,0.00659494,mg/100g,<LOQ,mg/100g,0.00303086,mg/100g,0.04760571,mg/100g,<LOQ,mg/100g,0.01687429,mg/100g,17.2760581,g/100g,0.00655533,mg/100g,2.4065558,#,1.21,#,1.717911,#,3.24001528,mg ne/100g
CS7E8,Trout Hot Dog,,Seatopia,,2026-03-26,0.00011964,g/100g,0.13428535,mg/100g,2.325983847,mg/100g,9.4,mcg/100g,16.6,g/100g,0.02279106,g/100g,0.50,mcg/100g,<LOQ,mcg/100g,0.02586582,g/100g,3.697516,g/100g,55.8056,mg/100g,0.8476,mg/100g,648.8478,mg/100g,0.52328699,mg/100g,93.71045,mcg/100g,2.325983847,mg/100g,55.80214984,mg/100g,0.00547441,mg/100g,17.2,mcg/100g,362.7486,mg/100g,0.0014537,g/100g,225.0323,mg/100g,63.65138259,mcg rae/100g,0.1396,mg/100g,196.4677,mg/100g,<LOQ,mcg/100g,0.0466,mg/100g,32.1396,mg/100g,0.0620,mg/100g,0.00367168,g/100g,0.00394944,g/100g,0.00074425,g/100g,0.00057375,g/100g,0.00091712,g/100g,0.0075601,g/100g,0.20375423,g/100g,<LOQ,g/100g,2.74784383,g/100g,0.42011156,g/100g,0.0054544,g/100g,0.60840777,g/100g,3.44403348,g/100g,0.05709539,g/100g,0.03487084,g/100g,0.2007899,g/100g,0.11824237,g/100g,0.06461834,g/100g,0.07637353,g/100g,0.11823414,g/100g,0.48392054,g/100g,0.00369265,g/100g,0.021315,g/100g,0.01764288,g/100g,0.009985,g/100g,0.0279627,g/100g,1.26447323,g/100g,3.4060472,mg/100g,0.00514434,g/100g,<LOQ,g/100g,0.09333813,g/100g,<LOQ,mcg/100g,28.14518017,mcg/100g,63.65138259,mcg rae/100g,19.74,g/100g,7.2399891,g/100g,8.6063182,g/100g,3.89349461,g/100g,4.7128235,g/100g,0.82614903,#,<LOQ,mcg/100g,1.05056921,mg/100g,0.02435155,mg/100g,0.015857,g/100g,57.52,g/100g,1.5298101,g/100g,28.14518017,mcg/100g,<LOQ,mcg/100g,<LOQ,g/100g,0.04272246,mg/100g,0.03714133,g/100g,0.015857,g/100g,2.52823182,g/100g,0.09933520,mg/100g,0.14820174,mg/100g,3.9569232,mg/100g,1.05056921,mg/100g,19.596821,g/100g,0.1262528,g/100g,<LOQ,g/100g,0.01847189,g/100g,<LOQ,g/100g,0.00991062,g/100g,0.06371739,g/100g,0.21509973,g/100g,1.5221546,g/100g,0.0076555056,g/100g,9.9,mcg/100g,0.00152483,mg/100g,0.03039551,g/100g,6.4871881,g/100g,0.00674582,g/100g,0.00732008,mg/100g,<LOQ,mg/100g,0.00349672,mg/100g,0.01687449,mg/100g,<LOQ,mg/100g,0.01691857,mg/100g,15.899306,g/100g,0.00707782,mg/100g,2.331883,#,1.19,#,1.788698,#,3.9569232,mg ne/100g
