code,name,external_id,owner__name,collection_date (SAMPLE_COLLECTION.EDA:1149),results_completed_at,Undecylic Acid (C11:0),Undecylic Acid (C11:0) unit,Cystine,Cystine unit,Free Riboflavin,Free Riboflavin unit,Alpha-Tocopherol,Alpha-Tocopherol unit,Arsenic,Arsenic unit,Protein,Protein unit,Pentadecanoic Acid (C15:0),Pentadecanoic Acid (C15:0) unit,Cobalt,Cobalt unit,Cadmium,Cadmium unit,Heptadecanoic Acid (C17:0),Heptadecanoic Acid (C17:0) unit,Saturated Fat (SFA),Saturated Fat (SFA) unit,Calcium,Calcium unit,Iron,Iron unit,Sodium,Sodium unit,Free Niacin,Free Niacin unit,Free Thiamin,Free Thiamin unit,Vitamin E,Vitamin E unit,Cholesterol,Cholesterol unit,Pyridoxine,Pyridoxine unit,Selenium,Selenium unit,Potassium,Potassium unit,Tridecylic Acid (C13:0),Tridecylic Acid (C13:0) unit,Phosphorus,Phosphorus unit,Vitamin A,Vitamin A unit,Zinc,Zinc unit,Sulfur,Sulfur unit,Mercury,Mercury unit,Copper,Copper unit,Magnesium,Magnesium unit,Manganese,Manganese unit,Tricosanoic Acid (C23:0),Tricosanoic Acid (C23:0) unit,Butyric acid (C4:0),Butyric acid (C4:0) unit,Caproic Acid (C6:0),Caproic Acid (C6:0) unit,Caprylic acid (C8:0),Caprylic acid (C8:0) unit,Capric Acid (C10:0),Capric Acid (C10:0) unit,Lauric Acid (C12:0),Lauric Acid (C12:0) unit,Myristic Acid (C14:0),Myristic Acid (C14:0) unit,10-Pentadecenoic Acid (C15:1 cis-10),10-Pentadecenoic Acid (C15:1 cis-10) unit,Palmitic Acid (C16:0),Palmitic Acid (C16:0) unit,Palmitoleic Acid (C16:1 cis-9),Palmitoleic Acid (C16:1 cis-9) unit,Heptadecenoic Acid (C17:1 cis-10),Heptadecenoic Acid (C17:1 cis-10) unit,Stearic Acid (C18:0),Stearic Acid (C18:0) unit,"Linoleic Acid (C18:2 cis-9,12)","Linoleic Acid (C18:2 cis-9,12) unit","Gamma Linolenic Acid (C18:3 cis-6,9,12)","Gamma Linolenic Acid (C18:3 cis-6,9,12) unit",Arachidic Acid (C20:0),Arachidic Acid (C20:0) unit,Gondoic Acid (C20:1 cis-11),Gondoic Acid (C20:1 cis-11) unit,"Icosadienoic Acid (C20:2 cis-11,14)","Icosadienoic Acid (C20:2 cis-11,14) unit","Dihomo-Gamma Linolenic Acid (C20:3 cis-8,11,14)","Dihomo-Gamma Linolenic Acid (C20:3 cis-8,11,14) unit","Icosatrienoic Acid (C20:3 cis-11,14,17)","Icosatrienoic Acid (C20:3 cis-11,14,17) unit","Arachidonic Acid (C20:4 cis-5,8,11,14)","Arachidonic Acid (C20:4 cis-5,8,11,14) unit","Eicosapentaenoic acid (EPA) (C20:5 cis-5,8,11,14,17)","Eicosapentaenoic acid (EPA) (C20:5 cis-5,8,11,14,17) unit",Henicosanoic Acid (C21:0),Henicosanoic Acid (C21:0) unit,Behenic acid (C22:0),Behenic acid (C22:0) unit,"Docosadienoic Acid (C22:2 cis-13,16)","Docosadienoic Acid (C22:2 cis-13,16) unit",Lignoceric Acid (C24:0),Lignoceric Acid (C24:0) unit,Nervonic Acid (C24:1 cis-15),Nervonic Acid (C24:1 cis-15) unit,"Docosahexaenoic Acid (DHA) (C22:6 cis-4,7,10,13,16,19)","Docosahexaenoic Acid (DHA) (C22:6 cis-4,7,10,13,16,19) unit",Free Niacinamide,Free Niacinamide unit,Myristoleic Acid (C14:1 cis-9),Myristoleic Acid (C14:1 cis-9) unit,"Linoelaidic Acid (C18:2 trans-9,12)","Linoelaidic Acid (C18:2 trans-9,12) unit",Erucic Acid (C22:1 cis-13),Erucic Acid (C22:1 cis-13) unit,Lead,Lead unit,Cholecalciferol (Vitamin D3),Cholecalciferol (Vitamin D3) unit,Retinol,Retinol unit,Total Fats,Total Fats unit,Monounsaturated Fat (MUFA),Monounsaturated Fat (MUFA) unit,Polyunsaturated Fat (PUFA),Polyunsaturated Fat (PUFA) unit,Omega-6,Omega-6 unit,Omega-3,Omega-3 unit,Omega 6:3 Ratio,Omega 6:3 Ratio unit,Nickel,Nickel unit,Free Pantothenic Acid,Free Pantothenic Acid unit,Free Pyridoxal,Free Pyridoxal unit,"Rumenic Acid (C18:2 cis-9, trans-11)","Rumenic Acid (C18:2 cis-9, trans-11) unit",Moisture,Moisture unit,Total Micronutrients,Total Micronutrients unit,Vitamin D,Vitamin D unit,Ergocalciferol (Vitamin D2),Ergocalciferol (Vitamin D2) unit,Palmitelaidic Acid (C16:1 trans-9),Palmitelaidic Acid (C16:1 trans-9) unit,Vitamin B6 (Pyridoxal),Vitamin B6 (Pyridoxal) unit,Trans Fatty Acids (TFA),Trans Fatty Acids (TFA) unit,Conjugated Linoleic Acids,Conjugated Linoleic Acids unit,"Alpha Linolenic Acid (ALA) (C18:3 cis-9,12,15)","Alpha Linolenic Acid (ALA) (C18:3 cis-9,12,15) unit",Vitamin B1 (Thiamin),Vitamin B1 (Thiamin) unit,Vitamin B2 (Riboflavin),Vitamin B2 (Riboflavin) unit,"Niacin, Total","Niacin, Total unit",Vitamin B5 (Pantothenic Acid),Vitamin B5 (Pantothenic Acid) unit,Valine,Valine unit,Alanine,Alanine unit,Arginine,Arginine unit,Aspartic Acid,Aspartic Acid unit,Glutamic Acid,Glutamic Acid unit,Histidine,Histidine unit,Isoleucine,Isoleucine unit,Leucine,Leucine unit,Lysine,Lysine unit,Methionine,Methionine unit,Phenylalanine,Phenylalanine unit,Proline,Proline unit,Threonine,Threonine unit,Tryptophan,Tryptophan unit,Tyrosine,Tyrosine unit,Serine,Serine unit,Glycine,Glycine unit,Total Amino Acids,Total Amino Acids unit,Total Non Essential Amino Acids,Total Non Essential Amino Acids unit,Total Essential Amino Acids,Total Essential Amino Acids unit,Total Fatty Acids,Total Fatty Acids unit,"Stearidonic Acid (C18:4 cis-6,9,12,15)","Stearidonic Acid (C18:4 cis-6,9,12,15) unit","Conjugated Linoleic Acid (C18:2 trans-10, cis-12)","Conjugated Linoleic Acid (C18:2 trans-10, cis-12) unit","Heneicosapentaenoic Acid (C21:5 cis-6,9,12,15,18)","Heneicosapentaenoic Acid (C21:5 cis-6,9,12,15,18) unit","Docosatetraenoic Acid (C22:4 cis-4,10,13,16)","Docosatetraenoic Acid (C22:4 cis-4,10,13,16) unit","Docosatrienoic Acid (C22:3 cis-10,13,16)","Docosatrienoic Acid (C22:3 cis-10,13,16) unit","Docosapentaenoic Acid (C22:5 cis-4,7,10,13,16)","Docosapentaenoic Acid (C22:5 cis-4,7,10,13,16) unit","Docosapentaenoic Acid (C22:5 cis-7,10,13,16,19)","Docosapentaenoic Acid (C22:5 cis-7,10,13,16,19) unit",Total Minerals,Total Minerals unit,Total Vitamins,Total Vitamins unit,Total Heavy Metals,Total Heavy Metals unit,Pyridoxamine,Pyridoxamine unit,"C18:1, trans total","C18:1, trans total unit","C18:1, cis total","C18:1, cis total unit","C20:1, trans-11","C20:1, trans-11 unit",Thiamin Monophosphate,Thiamin Monophosphate unit,Thiamin Diphosphate,Thiamin Diphosphate unit,HMP Thiamin Derivative,HMP Thiamin Derivative unit,Flavin Mononucleotide (FMN),Flavin Mononucleotide (FMN) unit,Flavin Adenine Dinucleotide (FAD),Flavin Adenine Dinucleotide (FAD) unit,Pyridoxal Phosphate,Pyridoxal Phosphate unit,Unsaturated Fat,Unsaturated Fat unit,4-pyridoxic Acid,4-pyridoxic Acid unit,PUFA:SFA Ratio,PUFA:SFA Ratio unit,Fat:Protein Ratio,Fat:Protein Ratio unit,Sodium:Potassium Ratio,Sodium:Potassium Ratio unit,"Vitamin B3 (Niacin, NE)","Vitamin B3 (Niacin, NE) unit",Total Conditionally Essential Amino Acids,Total Conditionally Essential Amino Acids unit
F8NYY,Steelhead Trout,Hudson Valley Steelhead Fillet,Seatopia,,2025-11-03,0.00010978,g/100g,,,0.02794691,mg/100g,7.45693,mg/100g,96.0,mcg/100g,19.9,g/100g,0.03455079,g/100g,0.9,mcg/100g,<LOQ,mcg/100g,0.04252542,g/100g,4.4678822,g/100g,119.3475,mg/100g,0.7320,mg/100g,33.3791,mg/100g,0.26240846,mg/100g,186.42479,mcg/100g,7.45693,mg/100g,76.46333,mg/100g,0.00094159,mg/100g,16.7,mcg/100g,423.9987,mg/100g,0.00198229,g/100g,261.5227,mg/100g,7.50,mcg rae/100g,0.5591,mg/100g,166.9884,mg/100g,<LOQ,mcg/100g,0.0293,mg/100g,35.8246,mg/100g,0.1085,mg/100g,0.00728553,g/100g,0.00226499,g/100g,0.00021852,g/100g,0.00007949,g/100g,0.00066432,g/100g,0.00536874,g/100g,0.39629281,g/100g,0.00084522,g/100g,3.12319818,g/100g,0.74153917,g/100g,0.01133454,g/100g,0.70444667,g/100g,2.0016078,g/100g,0.06379989,g/100g,0.0748977,g/100g,0.54393361,g/100g,0.27277191,g/100g,0.11286045,g/100g,0.0931735,g/100g,0.10239888,g/100g,0.41156616,g/100g,0.0081089,g/100g,0.04341781,g/100g,0.03374772,g/100g,0.02247028,g/100g,0.07761503,g/100g,0.98820369,g/100g,4.15851543,mg/100g,0.00422471,g/100g,0.01971095,g/100g,0.10809664,g/100g,<LOQ,mcg/100g,0.00,mcg/100g,7.50,mcg rae/100g,24.97,g/100g,14.13179398,g/100g,5.8869938,g/100g,2.6594298,g/100g,3.2275641,g/100g,0.83008133,#,<LOQ,mcg/100g,1.64977157,mg/100g,0.01467145,mg/100g,<LOQ,g/100g,56.3,g/100g,1.0562717,g/100g,0.00,mcg/100g,<LOQ,mcg/100g,<LOQ,g/100g,0.20456334,mg/100g,0.10515779,g/100g,0.02340979,g/100g,1.45656087,g/100g,0.22713873,mg/100g,0.08766446,mg/100g,4.45460786,mg/100g,1.64977157,mg/100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6152376,g/100g,0.14505763,g/100g,0.02340979,g/100g,0.04533146,g/100g,<LOQ,g/100g,0.00350469,g/100g,0.06873841,g/100g,0.08767078,g/100g,1.0425066,g/100g,0.01376511,g/100g,96.9,mcg/100g,0.00318304,mg/100g,0.08544684,g/100g,12.64420506,g/100g,<LOQ,g/100g,0.05298534,mg/100g,<LOQ,mg/100g,<LOQ,mg/100g,0.00437478,mg/100g,0.11711473,mg/100g,0.27464518,mg/100g,20.1473554,g/100g,0.0221592,mg/100g,1.3272764,#,1.25,#,0.078725,#,,,,
WH58L,Steelhead Trout,Hudson Valley Steelhead Fillet,Seatopia,,2025-11-03,0.00009835,g/100g,,,0.02121952,mg/100g,6.24117,mg/100g,76.7,mcg/100g,19.6,g/100g,0.02995615,g/100g,0.4,mcg/100g,<LOQ,mcg/100g,0.03793194,g/100g,4.458295,g/100g,106.9960,mg/100g,0.3451,mg/100g,36.7600,mg/100g,0.21165952,mg/100g,121.35973,mcg/100g,6.24117,mg/100g,76.59005,mg/100g,0.00093984,mg/100g,15.4,mcg/100g,388.1684,mg/100g,0.00171754,g/100g,249.1477,mg/100g,5.61,mcg rae/100g,0.5263,mg/100g,156.5038,mg/100g,<LOQ,mcg/100g,0.0267,mg/100g,29.1197,mg/100g,0.1306,mg/100g,0.00791801,g/100g,0.00111027,g/100g,0.00019362,g/100g,0.00007986,g/100g,0.000629,g/100g,0.004816,g/100g,0.32806694,g/100g,0.0009219,g/100g,3.11236547,g/100g,0.79527408,g/100g,0.01093769,g/100g,0.78348304,g/100g,1.79516067,g/100g,0.05453101,g/100g,0.07232255,g/100g,0.55430145,g/100g,0.32844587,g/100g,0.16317592,g/100g,0.10495387,g/100g,0.07832361,g/100g,0.2799114,g/100g,0.0080057,g/100g,0.04492102,g/100g,0.04141955,g/100g,0.02467974,g/100g,0.07680334,g/100g,0.88726675,g/100g,3.66675537,mg/100g,0.00407193,g/100g,0.02020234,g/100g,0.10368343,g/100g,<LOQ,mcg/100g,0.00,mcg/100g,5.61,mcg rae/100g,29.53,g/100g,15.3658997,g/100g,5.6031250,g/100g,2.53210130,g/100g,3.0710237,g/100g,0.83109213,#,<LOQ,mcg/100g,1.55744703,mg/100g,0.01719841,mg/100g,<LOQ,g/100g,52.33,g/100g,0.9795831,g/100g,0.00,mcg/100g,<LOQ,mcg/100g,<LOQ,g/100g,0.18817667,mg/100g,0.09817993,g/100g,0.02058074,g/100g,1.56722713,g/100g,0.14981599,mg/100g,0.0784218,mg/100g,3.90811561,mg/100g,1.55744703,mg/100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.546081,g/100g,0.11103113,g/100g,0.02058074,g/100g,0.0422588,g/100g,<LOQ,g/100g,0.00384986,g/100g,0.06719481,g/100g,0.07837462,g/100g,0.9677397,g/100g,0.01184336,g/100g,77.1,mcg/100g,0.00214664,mg/100g,0.07797759,g/100g,13.81990591,g/100g,<LOQ,g/100g,0.03703313,mg/100g,<LOQ,mg/100g,<LOQ,mg/100g,0.0022922,mg/100g,0.1154496,mg/100g,0.24821249,mg/100g,21.0877854,g/100g,0.02321355,mg/100g,1.265934,#,1.51,#,0.094701,#,,,,
BX2MD,Steelhead Trout,Hudson Valley Steelhead Fillet,Seatopia,,2025-11-03,0.00008727,g/100g,,,0.02006748,mg/100g,6.51268,mg/100g,45.6,mcg/100g,20.5,g/100g,0.02914078,g/100g,0.4,mcg/100g,<LOQ,mcg/100g,0.03741489,g/100g,3.9639878,g/100g,68.5621,mg/100g,0.3697,mg/100g,36.6025,mg/100g,0.30947656,mg/100g,121.44312,mcg/100g,6.51268,mg/100g,74.35874,mg/100g,0.00122628,mg/100g,15.0,mcg/100g,433.8747,mg/100g,0.00175614,g/100g,256.9772,mg/100g,4.54,mcg rae/100g,0.5067,mg/100g,182.7933,mg/100g,<LOQ,mcg/100g,0.0320,mg/100g,32.0870,mg/100g,0.0687,mg/100g,0.00617222,g/100g,0.00124771,g/100g,0.00018361,g/100g,0.00007383,g/100g,0.00058011,g/100g,0.00441591,g/100g,0.3286181,g/100g,0.00070538,g/100g,2.80589646,g/100g,0.69017397,g/100g,0.00910296,g/100g,0.62761819,g/100g,1.6709313,g/100g,0.06144916,g/100g,0.05964257,g/100g,0.4557135,g/100g,0.25427853,g/100g,0.12338859,g/100g,0.08283639,g/100g,0.09766713,g/100g,0.30568304,g/100g,0.00690011,g/100g,0.03551223,g/100g,0.03148936,g/100g,0.01872767,g/100g,0.06819707,g/100g,0.88105947,g/100g,5.48149831,mg/100g,0.00363954,g/100g,0.01793977,g/100g,0.08984364,g/100g,<LOQ,mcg/100g,0.00,mcg/100g,4.54,mcg rae/100g,21.09,g/100g,12.7165032,g/100g,5.0763317,g/100g,2.3063604,g/100g,2.76997134,g/100g,0.83910621,#,<LOQ,mcg/100g,1.64574017,mg/100g,0.01881805,mg/100g,<LOQ,g/100g,58.98,g/100g,1.0260044,g/100g,0.00,mcg/100g,<LOQ,mcg/100g,<LOQ,g/100g,0.2601759,mg/100g,0.09756306,g/100g,0.01586571,g/100g,1.26556827,g/100g,0.16405671,mg/100g,0.09965519,mg/100g,5.83537501,mg/100g,1.64574017,mg/100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8702515,g/100g,0.11863613,g/100g,0.01586571,g/100g,0.03894737,g/100g,<LOQ,g/100g,0.00298959,g/100g,0.06416672,g/100g,0.07724067,g/100g,1.0118889,g/100g,0.01411549,g/100g,46.0,mcg/100g,0.00325396,mg/100g,0.07962329,g/100g,11.39912712,g/100g,<LOQ,g/100g,0.05545756,mg/100g,<LOQ,mg/100g,<LOQ,mg/100g,0.00534538,mg/100g,0.15691792,mg/100g,0.3502019,mg/100g,17.9062637,g/100g,0.02238062,mg/100g,1.2891405,#,1.03,#,0.084362,#,,,,
JKJGM,Steelhead Trout,SH Fillet Amino Acid Composite,Seatopia,,2025-11-06,,,0.19,g/100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,g/100g,1.25,g/100g,1.27,g/100g,1.98,g/100g,2.72,g/100g,0.57,g/100g,0.89,g/100g,1.49,g/100g,1.95,g/100g,0.59,g/100g,0.71,g/100g,0.91,g/100g,0.91,g/100g,0.22,g/100g,0.61,g/100g,0.79,g/100g,1.41,g/100g,19.49,g/100g,6.74,g/100g,8.36,g/100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,mg ne/100g,4.39,g/100g
