code,name,external_id,owner__name,collection_date (SAMPLE_COLLECTION.EDA:1149),results_completed_at,Undecylic Acid (C11:0),Undecylic Acid (C11:0) unit,Free Riboflavin,Free Riboflavin unit,Alpha-Tocopherol,Alpha-Tocopherol unit,Arsenic,Arsenic unit,Protein,Protein unit,Pentadecanoic Acid (C15:0),Pentadecanoic Acid (C15:0) unit,Cobalt,Cobalt unit,Cadmium,Cadmium unit,Heptadecanoic Acid (C17:0),Heptadecanoic Acid (C17:0) unit,Saturated Fat (SFA),Saturated Fat (SFA) unit,Calcium,Calcium unit,Iron,Iron unit,Sodium,Sodium unit,Free Niacin,Free Niacin unit,Free Thiamin,Free Thiamin unit,Vitamin E,Vitamin E unit,Cholesterol,Cholesterol unit,Pyridoxine,Pyridoxine unit,Selenium,Selenium unit,Potassium,Potassium unit,Tridecylic Acid (C13:0),Tridecylic Acid (C13:0) unit,Phosphorus,Phosphorus unit,Vitamin A,Vitamin A unit,Zinc,Zinc unit,Sulfur,Sulfur unit,Mercury,Mercury unit,Copper,Copper unit,Magnesium,Magnesium unit,Manganese,Manganese unit,Tricosanoic Acid (C23:0),Tricosanoic Acid (C23:0) unit,Butyric acid (C4:0),Butyric acid (C4:0) unit,Caproic Acid (C6:0),Caproic Acid (C6:0) unit,Caprylic acid (C8:0),Caprylic acid (C8:0) unit,Capric Acid (C10:0),Capric Acid (C10:0) unit,Lauric Acid (C12:0),Lauric Acid (C12:0) unit,Myristic Acid (C14:0),Myristic Acid (C14:0) unit,10-Pentadecenoic Acid (C15:1 cis-10),10-Pentadecenoic Acid (C15:1 cis-10) unit,Palmitic Acid (C16:0),Palmitic Acid (C16:0) unit,Palmitoleic Acid (C16:1 cis-9),Palmitoleic Acid (C16:1 cis-9) unit,Heptadecenoic Acid (C17:1 cis-10),Heptadecenoic Acid (C17:1 cis-10) unit,Stearic Acid (C18:0),Stearic Acid (C18:0) unit,"Linoleic Acid (C18:2 cis-9,12)","Linoleic Acid (C18:2 cis-9,12) unit","Gamma Linolenic Acid (C18:3 cis-6,9,12)","Gamma Linolenic Acid (C18:3 cis-6,9,12) unit",Arachidic Acid (C20:0),Arachidic Acid (C20:0) unit,Gondoic Acid (C20:1 cis-11),Gondoic Acid (C20:1 cis-11) unit,"Icosadienoic Acid (C20:2 cis-11,14)","Icosadienoic Acid (C20:2 cis-11,14) unit","Dihomo-Gamma Linolenic Acid (C20:3 cis-8,11,14)","Dihomo-Gamma Linolenic Acid (C20:3 cis-8,11,14) unit","Icosatrienoic Acid (C20:3 cis-11,14,17)","Icosatrienoic Acid (C20:3 cis-11,14,17) unit","Arachidonic Acid (C20:4 cis-5,8,11,14)","Arachidonic Acid (C20:4 cis-5,8,11,14) unit","Eicosapentaenoic acid (EPA) (C20:5 cis-5,8,11,14,17)","Eicosapentaenoic acid (EPA) (C20:5 cis-5,8,11,14,17) unit",Henicosanoic Acid (C21:0),Henicosanoic Acid (C21:0) unit,Behenic acid (C22:0),Behenic acid (C22:0) unit,"Docosadienoic Acid (C22:2 cis-13,16)","Docosadienoic Acid (C22:2 cis-13,16) unit",Lignoceric Acid (C24:0),Lignoceric Acid (C24:0) unit,Nervonic Acid (C24:1 cis-15),Nervonic Acid (C24:1 cis-15) unit,"Docosahexaenoic Acid (DHA) (C22:6 cis-4,7,10,13,16,19)","Docosahexaenoic Acid (DHA) (C22:6 cis-4,7,10,13,16,19) unit",Free Niacinamide,Free Niacinamide unit,Myristoleic Acid (C14:1 cis-9),Myristoleic Acid (C14:1 cis-9) unit,"Linoelaidic Acid (C18:2 trans-9,12)","Linoelaidic Acid (C18:2 trans-9,12) unit",Erucic Acid (C22:1 cis-13),Erucic Acid (C22:1 cis-13) unit,Lead,Lead unit,Cholecalciferol (Vitamin D3),Cholecalciferol (Vitamin D3) unit,Retinol,Retinol unit,Total Fats,Total Fats unit,Monounsaturated Fat (MUFA),Monounsaturated Fat (MUFA) unit,Polyunsaturated Fat (PUFA),Polyunsaturated Fat (PUFA) unit,Omega-6,Omega-6 unit,Omega-3,Omega-3 unit,Omega 6:3 Ratio,Omega 6:3 Ratio unit,Nickel,Nickel unit,Free Pantothenic Acid,Free Pantothenic Acid unit,Free Pyridoxal,Free Pyridoxal unit,"Rumenic Acid (C18:2 cis-9, trans-11)","Rumenic Acid (C18:2 cis-9, trans-11) unit",Moisture,Moisture unit,Total Micronutrients,Total Micronutrients unit,Vitamin D,Vitamin D unit,Ergocalciferol (Vitamin D2),Ergocalciferol (Vitamin D2) unit,Palmitelaidic Acid (C16:1 trans-9),Palmitelaidic Acid (C16:1 trans-9) unit,Vitamin B6 (Pyridoxal),Vitamin B6 (Pyridoxal) unit,Trans Fatty Acids (TFA),Trans Fatty Acids (TFA) unit,Conjugated Linoleic Acids,Conjugated Linoleic Acids unit,"Alpha Linolenic Acid (ALA) (C18:3 cis-9,12,15)","Alpha Linolenic Acid (ALA) (C18:3 cis-9,12,15) unit",Vitamin B1 (Thiamin),Vitamin B1 (Thiamin) unit,Vitamin B2 (Riboflavin),Vitamin B2 (Riboflavin) unit,"Niacin, Total","Niacin, Total unit",Vitamin B5 (Pantothenic Acid),Vitamin B5 (Pantothenic Acid) unit,Total Fatty Acids,Total Fatty Acids unit,"Stearidonic Acid (C18:4 cis-6,9,12,15)","Stearidonic Acid (C18:4 cis-6,9,12,15) unit","Conjugated Linoleic Acid (C18:2 trans-10, cis-12)","Conjugated Linoleic Acid (C18:2 trans-10, cis-12) unit","Heneicosapentaenoic Acid (C21:5 cis-6,9,12,15,18)","Heneicosapentaenoic Acid (C21:5 cis-6,9,12,15,18) unit","Docosatetraenoic Acid (C22:4 cis-4,10,13,16)","Docosatetraenoic Acid (C22:4 cis-4,10,13,16) unit","Docosatrienoic Acid (C22:3 cis-10,13,16)","Docosatrienoic Acid (C22:3 cis-10,13,16) unit","Docosapentaenoic Acid (C22:5 cis-4,7,10,13,16)","Docosapentaenoic Acid (C22:5 cis-4,7,10,13,16) unit","Docosapentaenoic Acid (C22:5 cis-7,10,13,16,19)","Docosapentaenoic Acid (C22:5 cis-7,10,13,16,19) unit",Total Minerals,Total Minerals unit,Total Vitamins,Total Vitamins unit,Total Heavy Metals,Total Heavy Metals unit,Pyridoxamine,Pyridoxamine unit,"C18:1, trans total","C18:1, trans total unit","C18:1, cis total","C18:1, cis total unit","C20:1, trans-11","C20:1, trans-11 unit",Thiamin Monophosphate,Thiamin Monophosphate unit,Thiamin Diphosphate,Thiamin Diphosphate unit,HMP Thiamin Derivative,HMP Thiamin Derivative unit,Flavin Mononucleotide (FMN),Flavin Mononucleotide (FMN) unit,Flavin Adenine Dinucleotide (FAD),Flavin Adenine Dinucleotide (FAD) unit,Pyridoxal Phosphate,Pyridoxal Phosphate unit,Unsaturated Fat,Unsaturated Fat unit,4-pyridoxic Acid,4-pyridoxic Acid unit,PUFA:SFA Ratio,PUFA:SFA Ratio unit,Fat:Protein Ratio,Fat:Protein Ratio unit,Sodium:Potassium Ratio,Sodium:Potassium Ratio unit,"Vitamin B3 (Niacin, NE)","Vitamin B3 (Niacin, NE) unit"
82WT1,Yellowtail,,Seatopia,,2026-03-26,0.00003596,g/100g,0.01204867,mg/100g,0.5879309899,mg/100g,31.2,mcg/100g,24.1,g/100g,0.01454527,g/100g,<LOQ,mcg/100g,<LOQ,mcg/100g,0.01518832,g/100g,1.0718226,g/100g,3.9465,mg/100g,0.3821,mg/100g,33.3898,mg/100g,0.0251521,mg/100g,109.88715,mcg/100g,0.5879309899,mg/100g,39.06982463,mg/100g,0.00030158,mg/100g,19.4,mcg/100g,553.9791,mg/100g,0.00074051,g/100g,264.4267,mg/100g,4.911038247,mcg rae/100g,<LOQ,mg/100g,253.1103,mg/100g,<LOQ,mcg/100g,0.0449,mg/100g,39.8372,mg/100g,0.0070,mg/100g,0.00088376,g/100g,0.00329298,g/100g,0.00052751,g/100g,0.00014739,g/100g,0.00019904,g/100g,0.00121906,g/100g,0.1840842,g/100g,<LOQ,g/100g,0.67744087,g/100g,0.14789357,g/100g,0.00121106,g/100g,0.15050673,g/100g,0.37008275,g/100g,0.00296359,g/100g,0.01376682,g/100g,0.18638979,g/100g,0.02066515,g/100g,0.003363,g/100g,0.00832014,g/100g,0.01726504,g/100g,0.13189948,g/100g,0.00196895,g/100g,0.00429301,g/100g,0.00143174,g/100g,0.00298224,g/100g,0.02721831,g/100g,0.44569321,g/100g,7.59476519,mg/100g,0.00180579,g/100g,<LOQ,g/100g,0.04154618,g/100g,<LOQ,mcg/100g,2.000076289,mcg/100g,4.911038247,mcg rae/100g,2.96,g/100g,1.37412937,g/100g,1.249839,g/100g,0.443287,g/100g,0.80655177,g/100g,0.549608,#,<LOQ,mcg/100g,0.2555471,mg/100g,0.0077887,mg/100g,0.00576308,g/100g,72.37,g/100g,1.1577433,g/100g,2.000076289,mcg/100g,<LOQ,mcg/100g,<LOQ,g/100g,0.3152210,mg/100g,0.06049115,g/100g,0.00576308,g/100g,0.12417646,g/100g,0.11056066,mg/100g,0.1173176,mg/100g,7.6814349,mg/100g,0.2555471,mg/100g,3.762045,g/100g,0.04399419,g/100g,<LOQ,g/100g,0.01058628,g/100g,<LOQ,g/100g,<LOQ,g/100g,0.02751603,g/100g,0.04188201,g/100g,1.1491430,g/100g,0.0086003326,g/100g,31.2,mcg/100g,0.00447282,mg/100g,0.05358173,g/100g,0.96806467,g/100g,0.00690942,g/100g,0.00087651,mg/100g,<LOQ,mg/100g,0.00025713,mg/100g,0.01691098,mg/100g,0.1906124,mg/100g,0.44743274,mg/100g,2.690223,g/100g,0.00008923,mg/100g,1.171465,#,0.123,#,0.060273,#,7.6814349,mg ne/100g
W22F9,Yellowtail,,Seatopia,,2026-03-26,0.00005094,g/100g,0.01581864,mg/100g,0.7762000407,mg/100g,46.9,mcg/100g,23.3,g/100g,0.02001537,g/100g,<LOQ,mcg/100g,<LOQ,mcg/100g,0.01939024,g/100g,1.4235748,g/100g,3.7605,mg/100g,0.5936,mg/100g,33.1632,mg/100g,0.01367774,mg/100g,57.12283,mcg/100g,0.7762000407,mg/100g,39.15058237,mg/100g,0.00032636,mg/100g,20.0,mcg/100g,536.3668,mg/100g,0.00110858,g/100g,261.5680,mg/100g,13.85827142,mcg rae/100g,<LOQ,mg/100g,255.2660,mg/100g,<LOQ,mcg/100g,0.0650,mg/100g,38.5212,mg/100g,0.0072,mg/100g,0.00114994,g/100g,0.0032467,g/100g,0.00053018,g/100g,0.00015042,g/100g,0.00024934,g/100g,0.0018411,g/100g,0.24379544,g/100g,<LOQ,g/100g,0.91374309,g/100g,0.24574924,g/100g,0.00235257,g/100g,0.19008875,g/100g,0.51343647,g/100g,0.00494644,g/100g,0.01691506,g/100g,0.24972765,g/100g,0.02926888,g/100g,0.00526215,g/100g,0.01327953,g/100g,0.02182944,g/100g,0.21221685,g/100g,0.00249712,g/100g,0.00540652,g/100g,0.00197868,g/100g,0.00339604,g/100g,0.03356818,g/100g,0.59003704,g/100g,7.57846311,mg/100g,0.0030117,g/100g,<LOQ,g/100g,0.04433796,g/100g,<LOQ,mcg/100g,1.638722116,mcg/100g,13.85827142,mcg rae/100g,6.58,g/100g,1.9831551,g/100g,1.75421522,g/100g,0.61132233,g/100g,1.14289289,g/100g,0.53489031,#,<LOQ,mcg/100g,0.32005238,mg/100g,0.00916679,mg/100g,0.00699206,g/100g,69.16,g/100g,1.1381178,g/100g,1.638722116,mcg/100g,<LOQ,mcg/100g,<LOQ,g/100g,0.26402331,mg/100g,0.0685114,g/100g,0.00699206,g/100g,0.17238738,g/100g,0.05793285,mg/100g,0.19391612,mg/100g,7.65352640,mg/100g,0.32005238,mg/100g,5.2364486,g/100g,0.06518771,g/100g,<LOQ,g/100g,0.01461493,g/100g,<LOQ,g/100g,<LOQ,g/100g,0.03460027,g/100g,0.07516945,g/100g,1.1293315,g/100g,0.00878632488,g/100g,46.9,mcg/100g,0.00583102,mg/100g,0.0616177,g/100g,1.40440778,g/100g,0.00689368,g/100g,0.00105416,mg/100g,<LOQ,mg/100g,0.00021122,mg/100g,0.03541093,mg/100g,0.31077872,mg/100g,0.36768363,mg/100g,3.8128737,g/100g,0.00016228,mg/100g,1.2371723,#,0.282,#,0.061829,#,7.65352640,mg ne/100g
X12IZ,Yellowtail,,Seatopia,,2026-03-26,0.00004531,g/100g,0.01206519,mg/100g,1.483296223,mg/100g,46.3,mcg/100g,23.1,g/100g,0.0146274,g/100g,<LOQ,mcg/100g,<LOQ,mcg/100g,0.01399305,g/100g,1.024158,g/100g,4.0575,mg/100g,0.9011,mg/100g,34.3042,mg/100g,0.03692954,mg/100g,104.534,mcg/100g,1.483296223,mg/100g,52.31752542,mg/100g,0.00038577,mg/100g,17.8,mcg/100g,551.9951,mg/100g,0.00083511,g/100g,277.9666,mg/100g,31.78477248,mcg rae/100g,<LOQ,mg/100g,266.1889,mg/100g,<LOQ,mcg/100g,0.0621,mg/100g,38.9876,mg/100g,0.0085,mg/100g,0.0007246,g/100g,0.00322417,g/100g,0.00041752,g/100g,0.00012566,g/100g,0.000215,g/100g,0.00147907,g/100g,0.18249324,g/100g,<LOQ,g/100g,0.65004584,g/100g,0.17321275,g/100g,0.00175368,g/100g,0.13701527,g/100g,0.35535508,g/100g,0.00322382,g/100g,0.0114624,g/100g,0.16457655,g/100g,0.01920026,g/100g,0.00359688,g/100g,0.00873684,g/100g,0.01654738,g/100g,0.15152413,g/100g,0.00156907,g/100g,0.00376471,g/100g,0.00119557,g/100g,0.00212022,g/100g,0.02468423,g/100g,0.41432972,g/100g,6.32152676,mg/100g,0.0021544,g/100g,<LOQ,g/100g,0.03995896,g/100g,<LOQ,mcg/100g,2.173808869,mcg/100g,31.78477248,mcg rae/100g,5.89,g/100g,1.3510408,g/100g,1.22822748,g/100g,0.42364895,g/100g,0.80457853,g/100g,0.52654767,#,<LOQ,mcg/100g,0.29616469,mg/100g,0.00892015,mg/100g,0.00543368,g/100g,70.66,g/100g,1.1827872,g/100g,2.173808869,mcg/100g,<LOQ,mcg/100g,<LOQ,g/100g,0.28638801,mg/100g,0.0651280,g/100g,0.00543368,g/100g,0.11866333,g/100g,0.105391,mg/100g,0.14584187,mg/100g,6.40966067,mg/100g,0.29616469,mg/100g,3.673988,g/100g,0.04795141,g/100g,<LOQ,g/100g,0.01062918,g/100g,<LOQ,g/100g,<LOQ,g/100g,0.02452996,g/100g,0.05274392,g/100g,1.1744894,g/100g,0.008297781,g/100g,46.3,mcg/100g,0.00438069,mg/100g,0.05940055,g/100g,0.94470025,g/100g,0.0057274,g/100g,0.00111581,mg/100g,<LOQ,mg/100g,0.0002219,mg/100g,0.04217539,mg/100g,0.20662624,mg/100g,0.40315186,mg/100g,2.6498299,g/100g,<LOQ,mg/100g,1.204562,#,0.255,#,0.062146,#,6.40966067,mg ne/100g
