code,name,external_id,owner__name,collection_date (SAMPLE_COLLECTION.EDA:1149),results_completed_at,Undecylic Acid (C11:0),Undecylic Acid (C11:0) unit,Cystine,Cystine unit,Free Riboflavin,Free Riboflavin unit,Alpha-Tocopherol,Alpha-Tocopherol unit,Arsenic,Arsenic unit,Protein,Protein unit,Pentadecanoic Acid (C15:0),Pentadecanoic Acid (C15:0) unit,Cobalt,Cobalt unit,Cadmium,Cadmium unit,Heptadecanoic Acid (C17:0),Heptadecanoic Acid (C17:0) unit,Saturated Fat (SFA),Saturated Fat (SFA) unit,Calcium,Calcium unit,Iron,Iron unit,Sodium,Sodium unit,Free Niacin,Free Niacin unit,Free Thiamin,Free Thiamin unit,Vitamin E,Vitamin E unit,Cholesterol,Cholesterol unit,Pyridoxine,Pyridoxine unit,Selenium,Selenium unit,Potassium,Potassium unit,Tridecylic Acid (C13:0),Tridecylic Acid (C13:0) unit,Phosphorus,Phosphorus unit,Vitamin A,Vitamin A unit,Zinc,Zinc unit,Sulfur,Sulfur unit,Mercury,Mercury unit,Copper,Copper unit,Magnesium,Magnesium unit,Manganese,Manganese unit,Tricosanoic Acid (C23:0),Tricosanoic Acid (C23:0) unit,Butyric acid (C4:0),Butyric acid (C4:0) unit,Caproic Acid (C6:0),Caproic Acid (C6:0) unit,Caprylic acid (C8:0),Caprylic acid (C8:0) unit,Capric Acid (C10:0),Capric Acid (C10:0) unit,Lauric Acid (C12:0),Lauric Acid (C12:0) unit,Myristic Acid (C14:0),Myristic Acid (C14:0) unit,10-Pentadecenoic Acid (C15:1 cis-10),10-Pentadecenoic Acid (C15:1 cis-10) unit,Palmitic Acid (C16:0),Palmitic Acid (C16:0) unit,Palmitoleic Acid (C16:1 cis-9),Palmitoleic Acid (C16:1 cis-9) unit,Heptadecenoic Acid (C17:1 cis-10),Heptadecenoic Acid (C17:1 cis-10) unit,Stearic Acid (C18:0),Stearic Acid (C18:0) unit,"Linoleic Acid (C18:2 cis-9,12)","Linoleic Acid (C18:2 cis-9,12) unit","Gamma Linolenic Acid (C18:3 cis-6,9,12)","Gamma Linolenic Acid (C18:3 cis-6,9,12) unit",Arachidic Acid (C20:0),Arachidic Acid (C20:0) unit,Gondoic Acid (C20:1 cis-11),Gondoic Acid (C20:1 cis-11) unit,"Icosadienoic Acid (C20:2 cis-11,14)","Icosadienoic Acid (C20:2 cis-11,14) unit","Dihomo-Gamma Linolenic Acid (C20:3 cis-8,11,14)","Dihomo-Gamma Linolenic Acid (C20:3 cis-8,11,14) unit","Icosatrienoic Acid (C20:3 cis-11,14,17)","Icosatrienoic Acid (C20:3 cis-11,14,17) unit","Arachidonic Acid (C20:4 cis-5,8,11,14)","Arachidonic Acid (C20:4 cis-5,8,11,14) unit","Eicosapentaenoic acid (EPA) (C20:5 cis-5,8,11,14,17)","Eicosapentaenoic acid (EPA) (C20:5 cis-5,8,11,14,17) unit",Henicosanoic Acid (C21:0),Henicosanoic Acid (C21:0) unit,Behenic acid (C22:0),Behenic acid (C22:0) unit,"Docosadienoic Acid (C22:2 cis-13,16)","Docosadienoic Acid (C22:2 cis-13,16) unit",Lignoceric Acid (C24:0),Lignoceric Acid (C24:0) unit,Nervonic Acid (C24:1 cis-15),Nervonic Acid (C24:1 cis-15) unit,"Docosahexaenoic Acid (DHA) (C22:6 cis-4,7,10,13,16,19)","Docosahexaenoic Acid (DHA) (C22:6 cis-4,7,10,13,16,19) unit",Free Niacinamide,Free Niacinamide unit,Myristoleic Acid (C14:1 cis-9),Myristoleic Acid (C14:1 cis-9) unit,"Linoelaidic Acid (C18:2 trans-9,12)","Linoelaidic Acid (C18:2 trans-9,12) unit",Erucic Acid (C22:1 cis-13),Erucic Acid (C22:1 cis-13) unit,Lead,Lead unit,Cholecalciferol (Vitamin D3),Cholecalciferol (Vitamin D3) unit,Retinol,Retinol unit,Total Fats,Total Fats unit,Monounsaturated Fat (MUFA),Monounsaturated Fat (MUFA) unit,Polyunsaturated Fat (PUFA),Polyunsaturated Fat (PUFA) unit,Omega-6,Omega-6 unit,Omega-3,Omega-3 unit,Omega 6:3 Ratio,Omega 6:3 Ratio unit,Nickel,Nickel unit,Free Pantothenic Acid,Free Pantothenic Acid unit,Free Pyridoxal,Free Pyridoxal unit,"Rumenic Acid (C18:2 cis-9, trans-11)","Rumenic Acid (C18:2 cis-9, trans-11) unit",Moisture,Moisture unit,Total Micronutrients,Total Micronutrients unit,Vitamin D,Vitamin D unit,Ergocalciferol (Vitamin D2),Ergocalciferol (Vitamin D2) unit,Palmitelaidic Acid (C16:1 trans-9),Palmitelaidic Acid (C16:1 trans-9) unit,Vitamin B6 (Pyridoxal),Vitamin B6 (Pyridoxal) unit,Trans Fatty Acids (TFA),Trans Fatty Acids (TFA) unit,Conjugated Linoleic Acids,Conjugated Linoleic Acids unit,"Alpha Linolenic Acid (ALA) (C18:3 cis-9,12,15)","Alpha Linolenic Acid (ALA) (C18:3 cis-9,12,15) unit",Vitamin B1 (Thiamin),Vitamin B1 (Thiamin) unit,Vitamin B2 (Riboflavin),Vitamin B2 (Riboflavin) unit,"Niacin, Total","Niacin, Total unit",Vitamin B5 (Pantothenic Acid),Vitamin B5 (Pantothenic Acid) unit,Valine,Valine unit,Alanine,Alanine unit,Arginine,Arginine unit,Aspartic Acid,Aspartic Acid unit,Glutamic Acid,Glutamic Acid unit,Histidine,Histidine unit,Isoleucine,Isoleucine unit,Leucine,Leucine unit,Lysine,Lysine unit,Methionine,Methionine unit,Phenylalanine,Phenylalanine unit,Proline,Proline unit,Threonine,Threonine unit,Tryptophan,Tryptophan unit,Tyrosine,Tyrosine unit,Serine,Serine unit,Glycine,Glycine unit,Total Amino Acids,Total Amino Acids unit,Total Non Essential Amino Acids,Total Non Essential Amino Acids unit,Total Essential Amino Acids,Total Essential Amino Acids unit,Total Fatty Acids,Total Fatty Acids unit,"Stearidonic Acid (C18:4 cis-6,9,12,15)","Stearidonic Acid (C18:4 cis-6,9,12,15) unit","Conjugated Linoleic Acid (C18:2 trans-10, cis-12)","Conjugated Linoleic Acid (C18:2 trans-10, cis-12) unit","Heneicosapentaenoic Acid (C21:5 cis-6,9,12,15,18)","Heneicosapentaenoic Acid (C21:5 cis-6,9,12,15,18) unit","Docosatetraenoic Acid (C22:4 cis-4,10,13,16)","Docosatetraenoic Acid (C22:4 cis-4,10,13,16) unit","Docosatrienoic Acid (C22:3 cis-10,13,16)","Docosatrienoic Acid (C22:3 cis-10,13,16) unit","Docosapentaenoic Acid (C22:5 cis-4,7,10,13,16)","Docosapentaenoic Acid (C22:5 cis-4,7,10,13,16) unit","Docosapentaenoic Acid (C22:5 cis-7,10,13,16,19)","Docosapentaenoic Acid (C22:5 cis-7,10,13,16,19) unit",Total Minerals,Total Minerals unit,Total Vitamins,Total Vitamins unit,Total Heavy Metals,Total Heavy Metals unit,Pyridoxamine,Pyridoxamine unit,"C18:1, trans total","C18:1, trans total unit","C18:1, cis total","C18:1, cis total unit","C20:1, trans-11","C20:1, trans-11 unit",Thiamin Monophosphate,Thiamin Monophosphate unit,Thiamin Diphosphate,Thiamin Diphosphate unit,HMP Thiamin Derivative,HMP Thiamin Derivative unit,Flavin Mononucleotide (FMN),Flavin Mononucleotide (FMN) unit,Flavin Adenine Dinucleotide (FAD),Flavin Adenine Dinucleotide (FAD) unit,Pyridoxal Phosphate,Pyridoxal Phosphate unit,Unsaturated Fat,Unsaturated Fat unit,4-pyridoxic Acid,4-pyridoxic Acid unit,PUFA:SFA Ratio,PUFA:SFA Ratio unit,Fat:Protein Ratio,Fat:Protein Ratio unit,Sodium:Potassium Ratio,Sodium:Potassium Ratio unit,"Vitamin B3 (Niacin, NE)","Vitamin B3 (Niacin, NE) unit",Total Conditionally Essential Amino Acids,Total Conditionally Essential Amino Acids unit
94DFW,King Salmon Filet,Mt Cook Amino Acid Composite,Seatopia,,2025-11-06,,,0.18,g/100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,g/100g,1.14,g/100g,1.16,g/100g,1.85,g/100g,2.57,g/100g,0.51,g/100g,0.85,g/100g,1.43,g/100g,1.92,g/100g,0.55,g/100g,0.65,g/100g,0.78,g/100g,0.86,g/100g,0.22,g/100g,0.61,g/100g,0.73,g/100g,1.11,g/100g,18.11,g/100g,6.29,g/100g,7.98,g/100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,mg ne/100g,3.84,g/100g
VM87T,King Salmon Filet,Mt Cook King,Seatopia,,2025-11-03,0.00033688,g/100g,,,0.03845859,mg/100g,6.99977,mg/100g,13.7,mcg/100g,18.8,g/100g,0.04308069,g/100g,0.5,mcg/100g,<LOQ,mcg/100g,0.0773017,g/100g,5.9253335,g/100g,31.0020,mg/100g,0.3905,mg/100g,30.6269,mg/100g,0.39907677,mg/100g,43.974,mcg/100g,6.99977,mg/100g,68.39430,mg/100g,0.00219523,mg/100g,38.5,mcg/100g,500.1307,mg/100g,0.00369694,g/100g,255.5408,mg/100g,5.15,mcg rae/100g,0.4285,mg/100g,183.6564,mg/100g,<LOQ,mcg/100g,0.0317,mg/100g,32.0010,mg/100g,0.0223,mg/100g,0.00546022,g/100g,0.00261006,g/100g,0.00030979,g/100g,0.00009484,g/100g,0.00127606,g/100g,0.00911183,g/100g,0.4542059,g/100g,0.00053863,g/100g,3.8890131,g/100g,1.17839766,g/100g,0.00917208,g/100g,1.30010638,g/100g,1.62718907,g/100g,0.04824411,g/100g,0.07329532,g/100g,0.32547014,g/100g,0.08574962,g/100g,0.06927157,g/100g,0.03052236,g/100g,0.10234027,g/100g,0.35830049,g/100g,0.01057028,g/100g,0.03923752,g/100g,0.00804041,g/100g,0.01562597,g/100g,0.0634823,g/100g,0.73959046,g/100g,4.9587001,mg/100g,0.01098676,g/100g,0.02009048,g/100g,0.06863674,g/100g,<LOQ,mcg/100g,21.47,mcg/100g,5.15,mcg rae/100g,19.16,g/100g,11.7529241,g/100g,4.20135011,g/100g,1.98288384,g/100g,2.21846627,g/100g,0.902864446,#,<LOQ,mcg/100g,1.13147277,mg/100g,0.03148003,mg/100g,<LOQ,g/100g,61.14,g/100g,1.0475010,g/100g,21.47,mcg/100g,<LOQ,mcg/100g,<LOQ,g/100g,0.31580767,mg/100g,0.13885188,g/100g,0.02473361,g/100g,0.84528622,g/100g,0.073349,mg/100g,0.10624660,mg/100g,5.3979423,mg/100g,1.13147277,mg/100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0431932,g/100g,0.11017016,g/100g,0.02473361,g/100g,0.03909905,g/100g,<LOQ,g/100g,0.00887496,g/100g,0.03317383,g/100g,0.09549753,g/100g,1.0338693,g/100g,0.01363175,g/100g,14.2,mcg/100g,0.00253956,mg/100g,0.10950955,g/100g,10.09623982,g/100g,0.00925185,g/100g,0.03822864,mg/100g,<LOQ,mg/100g,<LOQ,mg/100g,0.01128803,mg/100g,0.12205964,mg/100g,0.41335401,mg/100g,16.1178597,g/100g,0.01082049,mg/100g,0.71661354,#,1.02,#,0.061238,#,,,,
B1SX1,King Salmon Filet,Mt Cook King,Seatopia,,2025-11-03,0.00045477,g/100g,,,0.03238082,mg/100g,7.03639,mg/100g,21.7,mcg/100g,20.6,g/100g,0.06242964,g/100g,0.4,mcg/100g,<LOQ,mcg/100g,0.09916102,g/100g,7.3961449,g/100g,45.3868,mg/100g,0.4135,mg/100g,34.6310,mg/100g,0.34174308,mg/100g,41.4367,mcg/100g,7.03639,mg/100g,72.98246,mg/100g,0.00126554,mg/100g,31.1,mcg/100g,419.6099,mg/100g,0.0057088,g/100g,225.6775,mg/100g,10.98,mcg rae/100g,0.5004,mg/100g,153.0769,mg/100g,<LOQ,mcg/100g,0.0258,mg/100g,27.7071,mg/100g,0.0244,mg/100g,0.00702371,g/100g,0.00131308,g/100g,0.00019845,g/100g,0.00008199,g/100g,0.0015185,g/100g,0.01224147,g/100g,0.53961414,g/100g,0.00065395,g/100g,5.02698912,g/100g,1.52908108,g/100g,0.01153964,g/100g,1.47547357,g/100g,1.6798423,g/100g,0.05717944,g/100g,0.08871069,g/100g,0.42462841,g/100g,0.14335151,g/100g,0.08753125,g/100g,0.04592279,g/100g,0.14569158,g/100g,0.44987232,g/100g,0.01123979,g/100g,0.04572273,g/100g,0.01333809,g/100g,0.01826339,g/100g,0.06926986,g/100g,0.78560436,g/100g,4.61761993,mg/100g,0.01588465,g/100g,0.01313861,g/100g,0.07336313,g/100g,<LOQ,mcg/100g,20.75,mcg/100g,10.98,mcg rae/100g,27.56,g/100g,14.6877726,g/100g,4.9315347,g/100g,2.1878068,g/100g,2.7437279,g/100g,0.80217335,#,<LOQ,mcg/100g,0.9681705,mg/100g,0.02996356,mg/100g,<LOQ,g/100g,54.56,g/100g,0.9201851,g/100g,20.75,mcg/100g,<LOQ,mcg/100g,<LOQ,g/100g,0.28864361,mg/100g,0.16726756,g/100g,0.02803577,g/100g,1.17459441,g/100g,0.0724122,mg/100g,0.0986347,mg/100g,4.99676573,mg/100g,0.9681705,mg/100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2107555,g/100g,0.14059427,g/100g,0.02803577,g/100g,0.04585084,g/100g,<LOQ,g/100g,0.01475503,g/100g,0.04611757,g/100g,0.1012889,g/100g,0.9070844,g/100g,0.01310070,g/100g,22.1,mcg/100g,0.00221965,mg/100g,0.14517649,g/100g,12.5633519,g/100g,0.00895246,g/100g,0.0403117,mg/100g,<LOQ,mg/100g,<LOQ,mg/100g,0.0169327,mg/100g,0.10914111,mg/100g,0.37726993,mg/100g,19.8146106,g/100g,0.01014446,mg/100g,0.67233797,#,1.34,#,0.082531,#,,,,
