code,name,external_id,owner__name,collection_date (SAMPLE_COLLECTION.EDA:1149),results_completed_at,Undecylic Acid (C11:0),Undecylic Acid (C11:0) unit,Cystine,Cystine unit,Free Riboflavin,Free Riboflavin unit,Alpha-Tocopherol,Alpha-Tocopherol unit,Arsenic,Arsenic unit,Protein,Protein unit,Pentadecanoic Acid (C15:0),Pentadecanoic Acid (C15:0) unit,Cobalt,Cobalt unit,Cadmium,Cadmium unit,Heptadecanoic Acid (C17:0),Heptadecanoic Acid (C17:0) unit,Saturated Fat (SFA),Saturated Fat (SFA) unit,Calcium,Calcium unit,Iron,Iron unit,Sodium,Sodium unit,Free Niacin,Free Niacin unit,Free Thiamin,Free Thiamin unit,Vitamin E,Vitamin E unit,Cholesterol,Cholesterol unit,Pyridoxine,Pyridoxine unit,Selenium,Selenium unit,Potassium,Potassium unit,Tridecylic Acid (C13:0),Tridecylic Acid (C13:0) unit,Phosphorus,Phosphorus unit,Vitamin A,Vitamin A unit,Zinc,Zinc unit,Sulfur,Sulfur unit,Mercury,Mercury unit,Copper,Copper unit,Magnesium,Magnesium unit,Manganese,Manganese unit,Tricosanoic Acid (C23:0),Tricosanoic Acid (C23:0) unit,Butyric acid (C4:0),Butyric acid (C4:0) unit,Caproic Acid (C6:0),Caproic Acid (C6:0) unit,Caprylic acid (C8:0),Caprylic acid (C8:0) unit,Capric Acid (C10:0),Capric Acid (C10:0) unit,Lauric Acid (C12:0),Lauric Acid (C12:0) unit,Myristic Acid (C14:0),Myristic Acid (C14:0) unit,10-Pentadecenoic Acid (C15:1 cis-10),10-Pentadecenoic Acid (C15:1 cis-10) unit,Palmitic Acid (C16:0),Palmitic Acid (C16:0) unit,Palmitoleic Acid (C16:1 cis-9),Palmitoleic Acid (C16:1 cis-9) unit,Heptadecenoic Acid (C17:1 cis-10),Heptadecenoic Acid (C17:1 cis-10) unit,Stearic Acid (C18:0),Stearic Acid (C18:0) unit,"Linoleic Acid (C18:2 cis-9,12)","Linoleic Acid (C18:2 cis-9,12) unit","Gamma Linolenic Acid (C18:3 cis-6,9,12)","Gamma Linolenic Acid (C18:3 cis-6,9,12) unit",Arachidic Acid (C20:0),Arachidic Acid (C20:0) unit,Gondoic Acid (C20:1 cis-11),Gondoic Acid (C20:1 cis-11) unit,"Icosadienoic Acid (C20:2 cis-11,14)","Icosadienoic Acid (C20:2 cis-11,14) unit","Dihomo-Gamma Linolenic Acid (C20:3 cis-8,11,14)","Dihomo-Gamma Linolenic Acid (C20:3 cis-8,11,14) unit","Icosatrienoic Acid (C20:3 cis-11,14,17)","Icosatrienoic Acid (C20:3 cis-11,14,17) unit","Arachidonic Acid (C20:4 cis-5,8,11,14)","Arachidonic Acid (C20:4 cis-5,8,11,14) unit","Eicosapentaenoic acid (EPA) (C20:5 cis-5,8,11,14,17)","Eicosapentaenoic acid (EPA) (C20:5 cis-5,8,11,14,17) unit",Henicosanoic Acid (C21:0),Henicosanoic Acid (C21:0) unit,Behenic acid (C22:0),Behenic acid (C22:0) unit,"Docosadienoic Acid (C22:2 cis-13,16)","Docosadienoic Acid (C22:2 cis-13,16) unit",Lignoceric Acid (C24:0),Lignoceric Acid (C24:0) unit,Nervonic Acid (C24:1 cis-15),Nervonic Acid (C24:1 cis-15) unit,"Docosahexaenoic Acid (DHA) (C22:6 cis-4,7,10,13,16,19)","Docosahexaenoic Acid (DHA) (C22:6 cis-4,7,10,13,16,19) unit",Free Niacinamide,Free Niacinamide unit,Myristoleic Acid (C14:1 cis-9),Myristoleic Acid (C14:1 cis-9) unit,"Linoelaidic Acid (C18:2 trans-9,12)","Linoelaidic Acid (C18:2 trans-9,12) unit",Erucic Acid (C22:1 cis-13),Erucic Acid (C22:1 cis-13) unit,Lead,Lead unit,Cholecalciferol (Vitamin D3),Cholecalciferol (Vitamin D3) unit,Retinol,Retinol unit,Total Fats,Total Fats unit,Monounsaturated Fat (MUFA),Monounsaturated Fat (MUFA) unit,Polyunsaturated Fat (PUFA),Polyunsaturated Fat (PUFA) unit,Omega-6,Omega-6 unit,Omega-3,Omega-3 unit,Omega 6:3 Ratio,Omega 6:3 Ratio unit,Nickel,Nickel unit,Free Pantothenic Acid,Free Pantothenic Acid unit,Free Pyridoxal,Free Pyridoxal unit,"Rumenic Acid (C18:2 cis-9, trans-11)","Rumenic Acid (C18:2 cis-9, trans-11) unit",Moisture,Moisture unit,Total Micronutrients,Total Micronutrients unit,Vitamin D,Vitamin D unit,Ergocalciferol (Vitamin D2),Ergocalciferol (Vitamin D2) unit,Palmitelaidic Acid (C16:1 trans-9),Palmitelaidic Acid (C16:1 trans-9) unit,Vitamin B6 (Pyridoxal),Vitamin B6 (Pyridoxal) unit,Trans Fatty Acids (TFA),Trans Fatty Acids (TFA) unit,Conjugated Linoleic Acids,Conjugated Linoleic Acids unit,"Alpha Linolenic Acid (ALA) (C18:3 cis-9,12,15)","Alpha Linolenic Acid (ALA) (C18:3 cis-9,12,15) unit",Vitamin B1 (Thiamin),Vitamin B1 (Thiamin) unit,Vitamin B2 (Riboflavin),Vitamin B2 (Riboflavin) unit,"Niacin, Total","Niacin, Total unit",Vitamin B5 (Pantothenic Acid),Vitamin B5 (Pantothenic Acid) unit,Valine,Valine unit,Alanine,Alanine unit,Arginine,Arginine unit,Aspartic Acid,Aspartic Acid unit,Glutamic Acid,Glutamic Acid unit,Histidine,Histidine unit,Isoleucine,Isoleucine unit,Leucine,Leucine unit,Lysine,Lysine unit,Methionine,Methionine unit,Phenylalanine,Phenylalanine unit,Proline,Proline unit,Threonine,Threonine unit,Tryptophan,Tryptophan unit,Tyrosine,Tyrosine unit,Serine,Serine unit,Glycine,Glycine unit,Total Amino Acids,Total Amino Acids unit,Total Non Essential Amino Acids,Total Non Essential Amino Acids unit,Total Essential Amino Acids,Total Essential Amino Acids unit,Total Fatty Acids,Total Fatty Acids unit,"Stearidonic Acid (C18:4 cis-6,9,12,15)","Stearidonic Acid (C18:4 cis-6,9,12,15) unit","Conjugated Linoleic Acid (C18:2 trans-10, cis-12)","Conjugated Linoleic Acid (C18:2 trans-10, cis-12) unit","Heneicosapentaenoic Acid (C21:5 cis-6,9,12,15,18)","Heneicosapentaenoic Acid (C21:5 cis-6,9,12,15,18) unit","Docosatetraenoic Acid (C22:4 cis-4,10,13,16)","Docosatetraenoic Acid (C22:4 cis-4,10,13,16) unit","Docosatrienoic Acid (C22:3 cis-10,13,16)","Docosatrienoic Acid (C22:3 cis-10,13,16) unit","Docosapentaenoic Acid (C22:5 cis-4,7,10,13,16)","Docosapentaenoic Acid (C22:5 cis-4,7,10,13,16) unit","Docosapentaenoic Acid (C22:5 cis-7,10,13,16,19)","Docosapentaenoic Acid (C22:5 cis-7,10,13,16,19) unit",Total Minerals,Total Minerals unit,Total Vitamins,Total Vitamins unit,Total Heavy Metals,Total Heavy Metals unit,Pyridoxamine,Pyridoxamine unit,"C18:1, trans total","C18:1, trans total unit","C18:1, cis total","C18:1, cis total unit","C20:1, trans-11","C20:1, trans-11 unit",Thiamin Monophosphate,Thiamin Monophosphate unit,Thiamin Diphosphate,Thiamin Diphosphate unit,HMP Thiamin Derivative,HMP Thiamin Derivative unit,Flavin Mononucleotide (FMN),Flavin Mononucleotide (FMN) unit,Flavin Adenine Dinucleotide (FAD),Flavin Adenine Dinucleotide (FAD) unit,Pyridoxal Phosphate,Pyridoxal Phosphate unit,Unsaturated Fat,Unsaturated Fat unit,4-pyridoxic Acid,4-pyridoxic Acid unit,PUFA:SFA Ratio,PUFA:SFA Ratio unit,Fat:Protein Ratio,Fat:Protein Ratio unit,Sodium:Potassium Ratio,Sodium:Potassium Ratio unit,"Vitamin B3 (Niacin, NE)","Vitamin B3 (Niacin, NE) unit",Total Conditionally Essential Amino Acids,Total Conditionally Essential Amino Acids unit
BJBRQ,King Salmon Filet,Ora King Amino Acid Composite,Seatopia,,2025-11-06,,,0.19,g/100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,g/100g,1.13,g/100g,1.11,g/100g,1.82,g/100g,2.51,g/100g,0.48,g/100g,0.82,g/100g,1.4,g/100g,1.91,g/100g,0.57,g/100g,0.63,g/100g,0.77,g/100g,0.83,g/100g,0.2,g/100g,0.58,g/100g,0.71,g/100g,1.12,g/100g,17.7,g/100g,6.17,g/100g,7.8,g/100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,mg ne/100g,3.77,g/100g
EMVTA,King Salmon Filet,Ora King,Seatopia,,2025-11-03,0.00064603,g/100g,,,0.06064728,mg/100g,10.35370,mg/100g,18.3,mcg/100g,20.4,g/100g,0.07213081,g/100g,0.2,mcg/100g,<LOQ,mcg/100g,0.10742821,g/100g,7.3565070,g/100g,31.9377,mg/100g,0.2858,mg/100g,33.4793,mg/100g,0.30252367,mg/100g,26.43285,mcg/100g,10.35370,mg/100g,68.43921,mg/100g,0.00200539,mg/100g,26.4,mcg/100g,462.8912,mg/100g,0.00928712,g/100g,245.2193,mg/100g,5.00,mcg rae/100g,0.6047,mg/100g,146.4213,mg/100g,<LOQ,mcg/100g,0.0197,mg/100g,32.5471,mg/100g,0.0151,mg/100g,0.00637187,g/100g,0.00113237,g/100g,0.00017641,g/100g,0.00009444,g/100g,0.0022494,g/100g,0.0158234,g/100g,0.57292091,g/100g,0.00081098,g/100g,5.09344769,g/100g,1.9289518,g/100g,0.01351533,g/100g,1.33535841,g/100g,1.67817286,g/100g,0.05278357,g/100g,0.08263218,g/100g,0.41521757,g/100g,0.1636809,g/100g,0.09010636,g/100g,0.05103967,g/100g,0.1944035,g/100g,0.46738624,g/100g,0.01261327,g/100g,0.03104808,g/100g,0.01553831,g/100g,0.01314635,g/100g,0.06670707,g/100g,0.89247977,g/100g,4.52671598,mg/100g,0.02750884,g/100g,0.02787768,g/100g,0.07604028,g/100g,<LOQ,mcg/100g,17.46,mcg/100g,5.00,mcg rae/100g,29.63,g/100g,15.3229911,g/100g,5.0087845,g/100g,2.2739648,g/100g,2.73481978,g/100g,0.84167975,#,<LOQ,mcg/100g,1.28270076,mg/100g,0.04808109,mg/100g,<LOQ,g/100g,51.76,g/100g,0.9700729,g/100g,17.46,mcg/100g,<LOQ,mcg/100g,<LOQ,g/100g,0.35425046,mg/100g,0.22004878,g/100g,0.01824769,g/100g,1.02360896,g/100g,0.05847263,mg/100g,0.11781983,mg/100g,4.86590605,mg/100g,1.28270076,mg/100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9265790,g/100g,0.14495598,g/100g,0.01824769,g/100g,0.04373145,g/100g,<LOQ,g/100g,0.02020792,g/100g,0.05907133,g/100g,0.11161771,g/100g,0.9534476,g/100g,0.01662527,g/100g,18.5,mcg/100g,0.00138414,mg/100g,0.18189804,g/100g,12.79423919,g/100g,0.01027306,g/100g,0.04169675,mg/100g,<LOQ,mg/100g,<LOQ,mg/100g,0.02114905,mg/100g,0.08292826,mg/100g,0.44761538,mg/100g,20.5700721,g/100g,0.01569658,mg/100g,0.68713452,#,1.45,#,0.072326,#,,,,
J931J,King Salmon Filet,Ora King,Seatopia,,2025-11-03,0.00069057,g/100g,,,0.03555017,mg/100g,19.99273,mg/100g,19.4,mcg/100g,18.4,g/100g,0.07833517,g/100g,0.2,mcg/100g,<LOQ,mcg/100g,0.1243917,g/100g,8.6504758,g/100g,27.1089,mg/100g,0.2696,mg/100g,26.9151,mg/100g,0.33729924,mg/100g,21.72964,mcg/100g,19.99273,mg/100g,75.58384,mg/100g,0.00179557,mg/100g,26.3,mcg/100g,380.9232,mg/100g,0.00916457,g/100g,205.7815,mg/100g,5.66,mcg rae/100g,0.3759,mg/100g,138.6433,mg/100g,<LOQ,mcg/100g,0.0227,mg/100g,25.6123,mg/100g,0.0146,mg/100g,0.0061487,g/100g,0.00135745,g/100g,0.00020281,g/100g,0.00010914,g/100g,0.00258346,g/100g,0.01538555,g/100g,0.60068928,g/100g,0.00078889,g/100g,5.95065559,g/100g,2.16408902,g/100g,0.01324292,g/100g,1.69170875,g/100g,1.90552446,g/100g,0.07105117,g/100g,0.09927738,g/100g,0.46840591,g/100g,0.16180466,g/100g,0.1020311,g/100g,0.04803799,g/100g,0.21388036,g/100g,0.48071922,g/100g,0.0170869,g/100g,0.0360596,g/100g,0.01405313,g/100g,0.01662915,g/100g,0.07257428,g/100g,1.00949476,g/100g,3.83872809,mg/100g,0.03004164,g/100g,0.02782608,g/100g,0.09059531,g/100g,<LOQ,mcg/100g,23.55,mcg/100g,5.66,mcg rae/100g,26.92,g/100g,17.56464608,g/100g,5.5327383,g/100g,2.5521214,g/100g,2.98061693,g/100g,0.86557498,#,<LOQ,mcg/100g,1.0688742,mg/100g,0.03978728,mg/100g,<LOQ,g/100g,54.23,g/100g,0.8310591,g/100g,23.55,mcg/100g,<LOQ,mcg/100g,<LOQ,g/100g,0.30589898,mg/100g,0.22355768,g/100g,0.01820805,g/100g,1.11987414,g/100g,0.04758759,mg/100g,0.08695946,mg/100g,4.20712103,mg/100g,1.0688742,mg/100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9896259,g/100g,0.16611591,g/100g,0.01820805,g/100g,0.04435986,g/100g,<LOQ,g/100g,0.02082021,g/100g,0.06295626,g/100g,0.11201505,g/100g,0.8056934,g/100g,0.02536570,g/100g,19.6,mcg/100g,0.00121455,mg/100g,0.17812767,g/100g,14.72490811,g/100g,0.01760393,g/100g,0.03365168,mg/100g,<LOQ,mg/100g,<LOQ,mg/100g,0.01904542,mg/100g,0.07452001,mg/100g,0.38895795,mg/100g,23.3391501,g/100g,0.01374444,mg/100g,0.64490932,#,1.46,#,0.070658,#,,,,
