code,name,external_id,owner__name,collection_date (SAMPLE_COLLECTION.EDA:1149),results_completed_at,Undecylic Acid (C11:0),Undecylic Acid (C11:0) unit,Free Riboflavin,Free Riboflavin unit,Alpha-Tocopherol,Alpha-Tocopherol unit,Arsenic,Arsenic unit,Protein,Protein unit,Pentadecanoic Acid (C15:0),Pentadecanoic Acid (C15:0) unit,Cobalt,Cobalt unit,Cadmium,Cadmium unit,Heptadecanoic Acid (C17:0),Heptadecanoic Acid (C17:0) unit,Saturated Fat (SFA),Saturated Fat (SFA) unit,Calcium,Calcium unit,Iron,Iron unit,Sodium,Sodium unit,Free Niacin,Free Niacin unit,Free Thiamin,Free Thiamin unit,Vitamin E,Vitamin E unit,Cholesterol,Cholesterol unit,Pyridoxine,Pyridoxine unit,Selenium,Selenium unit,Potassium,Potassium unit,Tridecylic Acid (C13:0),Tridecylic Acid (C13:0) unit,Phosphorus,Phosphorus unit,Vitamin A,Vitamin A unit,Zinc,Zinc unit,Sulfur,Sulfur unit,Mercury,Mercury unit,Copper,Copper unit,Magnesium,Magnesium unit,Manganese,Manganese unit,Tricosanoic Acid (C23:0),Tricosanoic Acid (C23:0) unit,Butyric acid (C4:0),Butyric acid (C4:0) unit,Caproic Acid (C6:0),Caproic Acid (C6:0) unit,Caprylic acid (C8:0),Caprylic acid (C8:0) unit,Capric Acid (C10:0),Capric Acid (C10:0) unit,Lauric Acid (C12:0),Lauric Acid (C12:0) unit,Myristic Acid (C14:0),Myristic Acid (C14:0) unit,10-Pentadecenoic Acid (C15:1 cis-10),10-Pentadecenoic Acid (C15:1 cis-10) unit,Palmitic Acid (C16:0),Palmitic Acid (C16:0) unit,Palmitoleic Acid (C16:1 cis-9),Palmitoleic Acid (C16:1 cis-9) unit,Heptadecenoic Acid (C17:1 cis-10),Heptadecenoic Acid (C17:1 cis-10) unit,Stearic Acid (C18:0),Stearic Acid (C18:0) unit,"Linoleic Acid (C18:2 cis-9,12)","Linoleic Acid (C18:2 cis-9,12) unit","Gamma Linolenic Acid (C18:3 cis-6,9,12)","Gamma Linolenic Acid (C18:3 cis-6,9,12) unit",Arachidic Acid (C20:0),Arachidic Acid (C20:0) unit,Gondoic Acid (C20:1 cis-11),Gondoic Acid (C20:1 cis-11) unit,"Icosadienoic Acid (C20:2 cis-11,14)","Icosadienoic Acid (C20:2 cis-11,14) unit","Dihomo-Gamma Linolenic Acid (C20:3 cis-8,11,14)","Dihomo-Gamma Linolenic Acid (C20:3 cis-8,11,14) unit","Icosatrienoic Acid (C20:3 cis-11,14,17)","Icosatrienoic Acid (C20:3 cis-11,14,17) unit","Arachidonic Acid (C20:4 cis-5,8,11,14)","Arachidonic Acid (C20:4 cis-5,8,11,14) unit","Eicosapentaenoic acid (EPA) (C20:5 cis-5,8,11,14,17)","Eicosapentaenoic acid (EPA) (C20:5 cis-5,8,11,14,17) unit",Henicosanoic Acid (C21:0),Henicosanoic Acid (C21:0) unit,Behenic acid (C22:0),Behenic acid (C22:0) unit,"Docosadienoic Acid (C22:2 cis-13,16)","Docosadienoic Acid (C22:2 cis-13,16) unit",Lignoceric Acid (C24:0),Lignoceric Acid (C24:0) unit,Nervonic Acid (C24:1 cis-15),Nervonic Acid (C24:1 cis-15) unit,"Docosahexaenoic Acid (DHA) (C22:6 cis-4,7,10,13,16,19)","Docosahexaenoic Acid (DHA) (C22:6 cis-4,7,10,13,16,19) unit",Free Niacinamide,Free Niacinamide unit,Myristoleic Acid (C14:1 cis-9),Myristoleic Acid (C14:1 cis-9) unit,"Linoelaidic Acid (C18:2 trans-9,12)","Linoelaidic Acid (C18:2 trans-9,12) unit",Erucic Acid (C22:1 cis-13),Erucic Acid (C22:1 cis-13) unit,Lead,Lead unit,Cholecalciferol (Vitamin D3),Cholecalciferol (Vitamin D3) unit,Retinol,Retinol unit,Total Fats,Total Fats unit,Monounsaturated Fat (MUFA),Monounsaturated Fat (MUFA) unit,Polyunsaturated Fat (PUFA),Polyunsaturated Fat (PUFA) unit,Omega-6,Omega-6 unit,Omega-3,Omega-3 unit,Omega 6:3 Ratio,Omega 6:3 Ratio unit,Nickel,Nickel unit,Free Pantothenic Acid,Free Pantothenic Acid unit,Free Pyridoxal,Free Pyridoxal unit,"Rumenic Acid (C18:2 cis-9, trans-11)","Rumenic Acid (C18:2 cis-9, trans-11) unit",Moisture,Moisture unit,Total Micronutrients,Total Micronutrients unit,Vitamin D,Vitamin D unit,Ergocalciferol (Vitamin D2),Ergocalciferol (Vitamin D2) unit,Palmitelaidic Acid (C16:1 trans-9),Palmitelaidic Acid (C16:1 trans-9) unit,Vitamin B6 (Pyridoxal),Vitamin B6 (Pyridoxal) unit,Trans Fatty Acids (TFA),Trans Fatty Acids (TFA) unit,Conjugated Linoleic Acids,Conjugated Linoleic Acids unit,"Alpha Linolenic Acid (ALA) (C18:3 cis-9,12,15)","Alpha Linolenic Acid (ALA) (C18:3 cis-9,12,15) unit",Vitamin B1 (Thiamin),Vitamin B1 (Thiamin) unit,Vitamin B2 (Riboflavin),Vitamin B2 (Riboflavin) unit,"Niacin, Total","Niacin, Total unit",Vitamin B5 (Pantothenic Acid),Vitamin B5 (Pantothenic Acid) unit,Total Fatty Acids,Total Fatty Acids unit,"Stearidonic Acid (C18:4 cis-6,9,12,15)","Stearidonic Acid (C18:4 cis-6,9,12,15) unit","Conjugated Linoleic Acid (C18:2 trans-10, cis-12)","Conjugated Linoleic Acid (C18:2 trans-10, cis-12) unit","Heneicosapentaenoic Acid (C21:5 cis-6,9,12,15,18)","Heneicosapentaenoic Acid (C21:5 cis-6,9,12,15,18) unit","Docosatetraenoic Acid (C22:4 cis-4,10,13,16)","Docosatetraenoic Acid (C22:4 cis-4,10,13,16) unit","Docosatrienoic Acid (C22:3 cis-10,13,16)","Docosatrienoic Acid (C22:3 cis-10,13,16) unit","Docosapentaenoic Acid (C22:5 cis-4,7,10,13,16)","Docosapentaenoic Acid (C22:5 cis-4,7,10,13,16) unit","Docosapentaenoic Acid (C22:5 cis-7,10,13,16,19)","Docosapentaenoic Acid (C22:5 cis-7,10,13,16,19) unit",Total Minerals,Total Minerals unit,Total Vitamins,Total Vitamins unit,Total Heavy Metals,Total Heavy Metals unit,Pyridoxamine,Pyridoxamine unit,"C18:1, trans total","C18:1, trans total unit","C18:1, cis total","C18:1, cis total unit","C20:1, trans-11","C20:1, trans-11 unit",Thiamin Monophosphate,Thiamin Monophosphate unit,Thiamin Diphosphate,Thiamin Diphosphate unit,HMP Thiamin Derivative,HMP Thiamin Derivative unit,Flavin Mononucleotide (FMN),Flavin Mononucleotide (FMN) unit,Flavin Adenine Dinucleotide (FAD),Flavin Adenine Dinucleotide (FAD) unit,Pyridoxal Phosphate,Pyridoxal Phosphate unit,Unsaturated Fat,Unsaturated Fat unit,4-pyridoxic Acid,4-pyridoxic Acid unit,PUFA:SFA Ratio,PUFA:SFA Ratio unit,Fat:Protein Ratio,Fat:Protein Ratio unit,Sodium:Potassium Ratio,Sodium:Potassium Ratio unit,"Vitamin B3 (Niacin, NE)","Vitamin B3 (Niacin, NE) unit"
DYPL4,Salmon Caviar,,Seatopia,,2026-04-02,0.00004309,g/100g,0.38322808,mg/100g,13.95679247,mg/100g,9.7,mcg/100g,26,g/100g,0.0240611,g/100g,1.28,mcg/100g,<LOQ,mcg/100g,0.03345952,g/100g,2.1593266,g/100g,56.6999,mg/100g,0.9777,mg/100g,1685.8557,mg/100g,0.00196805,mg/100g,510.45048,mcg/100g,13.95679247,mg/100g,366.9802451,mg/100g,0.00029927,mg/100g,90.7,mcg/100g,310.5135,mg/100g,0.00119074,g/100g,481.3584,mg/100g,70.91127995,mcg rae/100g,1.9147,mg/100g,315.8616,mg/100g,<LOQ,mcg/100g,0.1615,mg/100g,58.6055,mg/100g,0.3169,mg/100g,0.00067983,g/100g,0.00151005,g/100g,0.00011118,g/100g,0.00008383,g/100g,0.00018729,g/100g,0.00144684,g/100g,0.14629538,g/100g,<LOQ,g/100g,1.33312702,g/100g,0.31198426,g/100g,0.00126211,g/100g,0.60651206,g/100g,0.6777268,g/100g,0.01032549,g/100g,0.00597413,g/100g,0.04666026,g/100g,0.0811055,g/100g,0.09121154,g/100g,0.02496498,g/100g,0.19219591,g/100g,0.45800986,g/100g,0.00167539,g/100g,0.00136218,g/100g,0.00458407,g/100g,0.00160701,g/100g,0.032109,g/100g,1.31004953,g/100g,0.02981389,mg/100g,0.0019037,g/100g,<LOQ,g/100g,0.00819175,g/100g,<LOQ,mcg/100g,5.960213739,mcg/100g,70.91127995,mcg rae/100g,5.05,g/100g,2.898670,g/100g,3.3100180,g/100g,1.0834447,g/100g,2.22657333,g/100g,0.48659735,#,<LOQ,mcg/100g,1.80105417,mg/100g,0.15796649,mg/100g,<LOQ,g/100g,60.08,g/100g,2.9292745,g/100g,5.960213739,mcg/100g,<LOQ,mcg/100g,<LOQ,g/100g,0.15994483,mg/100g,0.04865997,g/100g,0.0098027,g/100g,0.14357291,g/100g,0.51300795,mg/100g,0.40229806,mg/100g,0.03202343,mg/100g,1.80105417,mg/100g,8.426477,g/100g,0.02735938,g/100g,0.0098027,g/100g,0.02122349,g/100g,<LOQ,g/100g,<LOQ,g/100g,0.02629538,g/100g,0.24139318,g/100g,2.9123561,g/100g,0.01691844439,g/100g,11.0,mcg/100g,0.00169276,mg/100g,0.04621811,g/100g,2.49655904,g/100g,0.00244186,g/100g,0.00332831,mg/100g,<LOQ,mg/100g,0.00090026,mg/100g,0.01797799,mg/100g,0.00885729,mg/100g,<LOQ,mg/100g,6.267151,g/100g,0.01563324,mg/100g,1.5374333,#,0.19,#,5.429251,#,0.03202343,mg ne/100g
6LPB8,Salmon Caviar,,Seatopia,,2026-04-02,0.0000533,g/100g,0.34829451,mg/100g,14.45776533,mg/100g,10.7,mcg/100g,25.4,g/100g,0.0243829,g/100g,1.50,mcg/100g,<LOQ,mcg/100g,0.0360657,g/100g,2.3694969,g/100g,66.7075,mg/100g,1.1639,mg/100g,1929.0260,mg/100g,0.00093556,mg/100g,504.63163,mcg/100g,14.45776533,mg/100g,401.2123328,mg/100g,0.00037275,mg/100g,94.5,mcg/100g,354.8179,mg/100g,0.00121928,g/100g,512.7494,mg/100g,77.3655096,mcg rae/100g,2.0825,mg/100g,346.6408,mg/100g,<LOQ,mcg/100g,0.1843,mg/100g,67.7753,mg/100g,0.3830,mg/100g,0.00051776,g/100g,0.00307675,g/100g,0.00015644,g/100g,0.00009883,g/100g,0.00020752,g/100g,0.00155209,g/100g,0.15301245,g/100g,<LOQ,g/100g,1.51147057,g/100g,0.32137278,g/100g,0.0011059,g/100g,0.62530715,g/100g,0.81423669,g/100g,0.01026165,g/100g,0.00647958,g/100g,0.05298908,g/100g,0.08497633,g/100g,0.10147202,g/100g,0.02738851,g/100g,0.19541349,g/100g,0.47749651,g/100g,0.00161131,g/100g,0.00207507,g/100g,0.00432947,g/100g,0.00221023,g/100g,0.03667082,g/100g,1.42958715,g/100g,0.02856439,mg/100g,0.00194094,g/100g,<LOQ,g/100g,0.00927016,g/100g,<LOQ,mcg/100g,5.550498222,mcg/100g,77.3655096,mcg rae/100g,8.25,g/100g,3.3169867,g/100g,3.61994468,g/100g,1.23893093,g/100g,2.38101375,g/100g,0.520337579,#,<LOQ,mcg/100g,1.81140613,mg/100g,0.16336888,mg/100g,<LOQ,g/100g,61.24,g/100g,3.2990234,g/100g,5.550498222,mcg/100g,<LOQ,mcg/100g,<LOQ,g/100g,0.16544483,mg/100g,0.05142095,g/100g,0.01117325,g/100g,0.14696052,g/100g,0.5073329,mg/100g,0.36811492,mg/100g,0.02973132,mg/100g,1.81140613,mg/100g,9.3690225,g/100g,0.02817811,g/100g,0.01117325,g/100g,0.02351329,g/100g,<LOQ,g/100g,<LOQ,g/100g,0.02824128,g/100g,0.24788966,g/100g,3.2816251,g/100g,0.01739825519,g/100g,12.2,mcg/100g,0.00171791,mg/100g,0.04823324,g/100g,2.89363705,g/100g,0.00318771,g/100g,0.0035154,mg/100g,<LOQ,mg/100g,0.00100558,mg/100g,0.01861799,mg/100g,0.00932197,mg/100g,<LOQ,mg/100g,6.9995256,g/100g,0.0152913,mg/100g,1.5324426,#,0.325,#,5.436665,#,0.02973132,mg ne/100g
BTYNQ,Salmon Caviar,,Seatopia,,2026-04-02,0.00003545,g/100g,0.33719947,mg/100g,14.32720772,mg/100g,9.8,mcg/100g,25.7,g/100g,0.02020115,g/100g,1.50,mcg/100g,<LOQ,mcg/100g,0.02976092,g/100g,1.9117857,g/100g,61.4768,mg/100g,1.0206,mg/100g,1791.3692,mg/100g,<LOQ,mg/100g,493.05616,mcg/100g,14.32720772,mg/100g,382.8365888,mg/100g,0.00037313,mg/100g,87.4,mcg/100g,336.2323,mg/100g,0.00092141,g/100g,512.3340,mg/100g,73.00748129,mcg rae/100g,1.9621,mg/100g,354.7236,mg/100g,<LOQ,mcg/100g,0.1688,mg/100g,61.3887,mg/100g,0.3509,mg/100g,0.00071574,g/100g,0.0015771,g/100g,0.00018847,g/100g,0.00007698,g/100g,0.00015102,g/100g,0.00114902,g/100g,0.12056431,g/100g,<LOQ,g/100g,1.14310813,g/100g,0.25746266,g/100g,0.00067037,g/100g,0.55766293,g/100g,0.55055558,g/100g,0.00912719,g/100g,0.0051998,g/100g,0.0425274,g/100g,0.07293969,g/100g,0.08071851,g/100g,0.02055543,g/100g,0.17193517,g/100g,0.40448029,g/100g,0.00136699,g/100g,0.0272663,g/100g,0.00346265,g/100g,0.00183998,g/100g,0.02846928,g/100g,1.17736628,g/100g,0.02856406,mg/100g,0.00145467,g/100g,<LOQ,g/100g,0.00762707,g/100g,<LOQ,mcg/100g,3.941753338,mcg/100g,73.00748129,mcg rae/100g,9.33,g/100g,2.4239277,g/100g,2.8814949,g/100g,0.91177300,g/100g,1.9697219,g/100g,0.46289429,#,<LOQ,mcg/100g,1.72641525,mg/100g,0.1564151,mg/100g,<LOQ,g/100g,60.33,g/100g,3.1382606,g/100g,3.941753338,mcg/100g,<LOQ,mcg/100g,<LOQ,g/100g,0.1583701,mg/100g,0.04421908,g/100g,0.00809941,g/100g,0.11533559,g/100g,0.49596039,mg/100g,0.35385855,mg/100g,0.02879543,mg/100g,1.72641525,mg/100g,7.2695268,g/100g,0.02066704,g/100g,0.00809941,g/100g,0.0179752,g/100g,<LOQ,g/100g,<LOQ,g/100g,0.02303421,g/100g,0.21334203,g/100g,3.1211144,g/100g,0.0171461801,g/100g,11.3,mcg/100g,0.00159586,mg/100g,0.04193244,g/100g,2.08571628,g/100g,0.00228664,g/100g,0.00377958,mg/100g,<LOQ,mg/100g,0.00080709,mg/100g,0.01016063,mg/100g,0.01728158,mg/100g,<LOQ,mg/100g,5.3577411,g/100g,0.01343739,mg/100g,1.5114635,#,0.363,#,5.327772,#,0.02879543,mg ne/100g
