code,name,external_id,owner__name,collection_date (SAMPLE_COLLECTION.EDA:1149),results_completed_at,Undecylic Acid (C11:0),Undecylic Acid (C11:0) unit,Free Riboflavin,Free Riboflavin unit,Alpha-Tocopherol,Alpha-Tocopherol unit,Arsenic,Arsenic unit,Protein,Protein unit,Pentadecanoic Acid (C15:0),Pentadecanoic Acid (C15:0) unit,Cobalt,Cobalt unit,Cadmium,Cadmium unit,Heptadecanoic Acid (C17:0),Heptadecanoic Acid (C17:0) unit,Saturated Fat (SFA),Saturated Fat (SFA) unit,Calcium,Calcium unit,Iron,Iron unit,Sodium,Sodium unit,Free Niacin,Free Niacin unit,Free Thiamin,Free Thiamin unit,Vitamin E,Vitamin E unit,Cholesterol,Cholesterol unit,Pyridoxine,Pyridoxine unit,Selenium,Selenium unit,Potassium,Potassium unit,Tridecylic Acid (C13:0),Tridecylic Acid (C13:0) unit,Phosphorus,Phosphorus unit,Vitamin A,Vitamin A unit,Zinc,Zinc unit,Sulfur,Sulfur unit,Mercury,Mercury unit,Copper,Copper unit,Magnesium,Magnesium unit,Manganese,Manganese unit,Tricosanoic Acid (C23:0),Tricosanoic Acid (C23:0) unit,Butyric acid (C4:0),Butyric acid (C4:0) unit,Caproic Acid (C6:0),Caproic Acid (C6:0) unit,Caprylic acid (C8:0),Caprylic acid (C8:0) unit,Capric Acid (C10:0),Capric Acid (C10:0) unit,Lauric Acid (C12:0),Lauric Acid (C12:0) unit,Myristic Acid (C14:0),Myristic Acid (C14:0) unit,10-Pentadecenoic Acid (C15:1 cis-10),10-Pentadecenoic Acid (C15:1 cis-10) unit,Palmitic Acid (C16:0),Palmitic Acid (C16:0) unit,Palmitoleic Acid (C16:1 cis-9),Palmitoleic Acid (C16:1 cis-9) unit,Heptadecenoic Acid (C17:1 cis-10),Heptadecenoic Acid (C17:1 cis-10) unit,Stearic Acid (C18:0),Stearic Acid (C18:0) unit,"Linoleic Acid (C18:2 cis-9,12)","Linoleic Acid (C18:2 cis-9,12) unit","Gamma Linolenic Acid (C18:3 cis-6,9,12)","Gamma Linolenic Acid (C18:3 cis-6,9,12) unit",Arachidic Acid (C20:0),Arachidic Acid (C20:0) unit,Gondoic Acid (C20:1 cis-11),Gondoic Acid (C20:1 cis-11) unit,"Icosadienoic Acid (C20:2 cis-11,14)","Icosadienoic Acid (C20:2 cis-11,14) unit","Dihomo-Gamma Linolenic Acid (C20:3 cis-8,11,14)","Dihomo-Gamma Linolenic Acid (C20:3 cis-8,11,14) unit","Icosatrienoic Acid (C20:3 cis-11,14,17)","Icosatrienoic Acid (C20:3 cis-11,14,17) unit","Arachidonic Acid (C20:4 cis-5,8,11,14)","Arachidonic Acid (C20:4 cis-5,8,11,14) unit","Eicosapentaenoic acid (EPA) (C20:5 cis-5,8,11,14,17)","Eicosapentaenoic acid (EPA) (C20:5 cis-5,8,11,14,17) unit",Henicosanoic Acid (C21:0),Henicosanoic Acid (C21:0) unit,Behenic acid (C22:0),Behenic acid (C22:0) unit,"Docosadienoic Acid (C22:2 cis-13,16)","Docosadienoic Acid (C22:2 cis-13,16) unit",Lignoceric Acid (C24:0),Lignoceric Acid (C24:0) unit,Nervonic Acid (C24:1 cis-15),Nervonic Acid (C24:1 cis-15) unit,"Docosahexaenoic Acid (DHA) (C22:6 cis-4,7,10,13,16,19)","Docosahexaenoic Acid (DHA) (C22:6 cis-4,7,10,13,16,19) unit",Free Niacinamide,Free Niacinamide unit,Myristoleic Acid (C14:1 cis-9),Myristoleic Acid (C14:1 cis-9) unit,"Linoelaidic Acid (C18:2 trans-9,12)","Linoelaidic Acid (C18:2 trans-9,12) unit",Erucic Acid (C22:1 cis-13),Erucic Acid (C22:1 cis-13) unit,Lead,Lead unit,Cholecalciferol (Vitamin D3),Cholecalciferol (Vitamin D3) unit,Retinol,Retinol unit,Total Fats,Total Fats unit,Monounsaturated Fat (MUFA),Monounsaturated Fat (MUFA) unit,Polyunsaturated Fat (PUFA),Polyunsaturated Fat (PUFA) unit,Omega-6,Omega-6 unit,Omega-3,Omega-3 unit,Omega 6:3 Ratio,Omega 6:3 Ratio unit,Nickel,Nickel unit,Free Pantothenic Acid,Free Pantothenic Acid unit,Free Pyridoxal,Free Pyridoxal unit,"Rumenic Acid (C18:2 cis-9, trans-11)","Rumenic Acid (C18:2 cis-9, trans-11) unit",Moisture,Moisture unit,Total Micronutrients,Total Micronutrients unit,Vitamin D,Vitamin D unit,Ergocalciferol (Vitamin D2),Ergocalciferol (Vitamin D2) unit,Palmitelaidic Acid (C16:1 trans-9),Palmitelaidic Acid (C16:1 trans-9) unit,Vitamin B6 (Pyridoxal),Vitamin B6 (Pyridoxal) unit,Trans Fatty Acids (TFA),Trans Fatty Acids (TFA) unit,Conjugated Linoleic Acids,Conjugated Linoleic Acids unit,"Alpha Linolenic Acid (ALA) (C18:3 cis-9,12,15)","Alpha Linolenic Acid (ALA) (C18:3 cis-9,12,15) unit",Vitamin B1 (Thiamin),Vitamin B1 (Thiamin) unit,Vitamin B2 (Riboflavin),Vitamin B2 (Riboflavin) unit,"Niacin, Total","Niacin, Total unit",Vitamin B5 (Pantothenic Acid),Vitamin B5 (Pantothenic Acid) unit,Total Fatty Acids,Total Fatty Acids unit,"Stearidonic Acid (C18:4 cis-6,9,12,15)","Stearidonic Acid (C18:4 cis-6,9,12,15) unit","Conjugated Linoleic Acid (C18:2 trans-10, cis-12)","Conjugated Linoleic Acid (C18:2 trans-10, cis-12) unit","Heneicosapentaenoic Acid (C21:5 cis-6,9,12,15,18)","Heneicosapentaenoic Acid (C21:5 cis-6,9,12,15,18) unit","Docosatetraenoic Acid (C22:4 cis-4,10,13,16)","Docosatetraenoic Acid (C22:4 cis-4,10,13,16) unit","Docosatrienoic Acid (C22:3 cis-10,13,16)","Docosatrienoic Acid (C22:3 cis-10,13,16) unit","Docosapentaenoic Acid (C22:5 cis-4,7,10,13,16)","Docosapentaenoic Acid (C22:5 cis-4,7,10,13,16) unit","Docosapentaenoic Acid (C22:5 cis-7,10,13,16,19)","Docosapentaenoic Acid (C22:5 cis-7,10,13,16,19) unit",Total Minerals,Total Minerals unit,Total Vitamins,Total Vitamins unit,Total Heavy Metals,Total Heavy Metals unit,Pyridoxamine,Pyridoxamine unit,"C18:1, trans total","C18:1, trans total unit","C18:1, cis total","C18:1, cis total unit","C20:1, trans-11","C20:1, trans-11 unit",Thiamin Monophosphate,Thiamin Monophosphate unit,Thiamin Diphosphate,Thiamin Diphosphate unit,HMP Thiamin Derivative,HMP Thiamin Derivative unit,Flavin Mononucleotide (FMN),Flavin Mononucleotide (FMN) unit,Flavin Adenine Dinucleotide (FAD),Flavin Adenine Dinucleotide (FAD) unit,Pyridoxal Phosphate,Pyridoxal Phosphate unit,Unsaturated Fat,Unsaturated Fat unit,4-pyridoxic Acid,4-pyridoxic Acid unit,PUFA:SFA Ratio,PUFA:SFA Ratio unit,Fat:Protein Ratio,Fat:Protein Ratio unit,Sodium:Potassium Ratio,Sodium:Potassium Ratio unit,"Vitamin B3 (Niacin, NE)","Vitamin B3 (Niacin, NE) unit"
PRPTR,Osetra Caviar,,Seatopia,,2026-04-02,0.00001552,g/100g,0.98089737,mg/100g,3.291174605,mg/100g,11.6,mcg/100g,27.3,g/100g,0.02027033,g/100g,1.19,mcg/100g,<LOQ,mcg/100g,0.02964329,g/100g,4.26771425,g/100g,25.7321,mg/100g,2.9699,mg/100g,1435.4244,mg/100g,0.0063056,mg/100g,37.23669,mcg/100g,3.291174605,mg/100g,298.3041023,mg/100g,0.0000558,mg/100g,69.4,mcg/100g,197.2028,mg/100g,0.00021927,g/100g,482.3580,mg/100g,84.91848915,mcg rae/100g,2.3092,mg/100g,308.8005,mg/100g,<LOQ,mcg/100g,0.1616,mg/100g,33.6233,mg/100g,0.0924,mg/100g,0.00114686,g/100g,0.00352429,g/100g,0.00028254,g/100g,0.00010247,g/100g,0.00006801,g/100g,0.00046164,g/100g,0.15968453,g/100g,<LOQ,g/100g,3.50819432,g/100g,0.66345094,g/100g,0.0017139,g/100g,0.50924638,g/100g,2.16280474,g/100g,0.2937095,g/100g,0.01254646,g/100g,0.06601902,g/100g,0.11200857,g/100g,0.10267743,g/100g,0.02761101,g/100g,0.46080916,g/100g,0.49846841,g/100g,0.00332787,g/100g,0.01066698,g/100g,0.00769806,g/100g,0.00831349,g/100g,0.04337576,g/100g,1.17993045,g/100g,1.00044049,mg/100g,0.00152833,g/100g,<LOQ,g/100g,0.02194281,g/100g,<LOQ,mcg/100g,2.300887613,mcg/100g,84.91848915,mcg rae/100g,16.73,g/100g,6.4349973,g/100g,5.3446530,g/100g,3.1729528,g/100g,2.17170028,g/100g,1.4610454,#,<LOQ,mcg/100g,3.25550023,mg/100g,0.02012644,mg/100g,<LOQ,g/100g,51.4,g/100g,2.4974226,g/100g,2.300887613,mcg/100g,<LOQ,mcg/100g,<LOQ,g/100g,0.1376282,mg/100g,0.22155364,g/100g,0.01808052,g/100g,0.18524994,g/100g,0.0373888,mg/100g,0.99787375,mg/100g,1.0148497,mg/100g,3.25550023,mg/100g,16.2869987,g/100g,0.07816475,g/100g,0.01808052,g/100g,0.03394336,g/100g,<LOQ,g/100g,<LOQ,g/100g,0.03324531,g/100g,0.16833236,g/100g,2.4887436,g/100g,0.0086789566,g/100g,12.8,mcg/100g,0.11815557,mg/100g,0.21649292,g/100g,5.6369665,g/100g,0.00506072,g/100g,0.0001979,mg/100g,<LOQ,mg/100g,0.00036211,mg/100g,0.01595448,mg/100g,0.00797062,mg/100g,<LOQ,mg/100g,12.0192845,g/100g,<LOQ,mg/100g,1.2565822,#,0.613,#,7.278925,#,1.0148497,mg ne/100g
QV243,Osetra Caviar,,Seatopia,,2026-04-02,0.00002738,g/100g,1.01474621,mg/100g,5.718892756,mg/100g,12.3,mcg/100g,26.7,g/100g,0.01829838,g/100g,1.44,mcg/100g,<LOQ,mcg/100g,0.02610689,g/100g,3.7640532,g/100g,26.9290,mg/100g,3.1762,mg/100g,1610.0134,mg/100g,0.00453574,mg/100g,37.44227,mcg/100g,5.718892756,mg/100g,432.0958958,mg/100g,0.00009881,mg/100g,73.5,mcg/100g,228.8136,mg/100g,0.00019582,g/100g,506.5249,mg/100g,139.4199457,mcg rae/100g,2.3800,mg/100g,335.6165,mg/100g,<LOQ,mcg/100g,0.1694,mg/100g,36.9965,mg/100g,0.1014,mg/100g,0.00141753,g/100g,0.00283745,g/100g,0.00020059,g/100g,0.0000943,g/100g,0.00007026,g/100g,0.00038466,g/100g,0.13669636,g/100g,<LOQ,g/100g,3.08347469,g/100g,0.5182245,g/100g,0.00169758,g/100g,0.46013181,g/100g,1.84927636,g/100g,0.26235705,g/100g,0.01197666,g/100g,0.06558071,g/100g,0.09851089,g/100g,0.09981183,g/100g,0.02624448,g/100g,0.42460839,g/100g,0.44374031,g/100g,0.00384603,g/100g,0.0101612,g/100g,0.00711446,g/100g,0.00813316,g/100g,0.0437528,g/100g,1.08312169,g/100g,0.90991479,mg/100g,0.00144854,g/100g,<LOQ,g/100g,0.01952256,g/100g,<LOQ,mcg/100g,4.276577093,mcg/100g,139.4199457,mcg rae/100g,17.17,g/100g,5.4924611,g/100g,4.72404862,g/100g,2.77404920,g/100g,1.94999942,g/100g,1.42258976,#,<LOQ,mcg/100g,3.22401695,mg/100g,0.01998125,mg/100g,<LOQ,g/100g,50.01,g/100g,2.7618677,g/100g,4.276577093,mcg/100g,<LOQ,mcg/100g,<LOQ,g/100g,0.13520145,mg/100g,0.22641242,g/100g,0.01741347,g/100g,0.15453984,g/100g,0.03744227,mg/100g,1.03112511,mg/100g,0.92182084,mg/100g,3.22401695,mg/100g,14.2243888,g/100g,0.06835545,g/100g,0.01741347,g/100g,0.03152454,g/100g,<LOQ,g/100g,<LOQ,g/100g,0.03237022,g/100g,0.14247311,g/100g,2.7507944,g/100g,0.01107332530,g/100g,13.7,mcg/100g,0.11581746,mg/100g,0.22222723,g/100g,4.84223438,g/100g,0.00418519,g/100g,<LOQ,mg/100g,<LOQ,mg/100g,0.00037134,mg/100g,0.01038634,mg/100g,0.01630826,mg/100g,<LOQ,mg/100g,10.4603356,g/100g,0.00011079,mg/100g,1.2596693,#,0.643,#,7.036354,#,0.92182084,mg ne/100g
WN5EB,Osetra Caviar,,Seatopia,,2026-04-02,0.00001563,g/100g,1.01207792,mg/100g,5.095536938,mg/100g,10.6,mcg/100g,27.4,g/100g,0.01569117,g/100g,1.09,mcg/100g,<LOQ,mcg/100g,0.02189327,g/100g,3.4987121,g/100g,23.4039,mg/100g,2.7739,mg/100g,1372.5465,mg/100g,0.00693304,mg/100g,36.59411,mcg/100g,5.095536938,mg/100g,423.2752368,mg/100g,0.00009288,mg/100g,63.4,mcg/100g,192.4656,mg/100g,0.00015855,g/100g,448.4283,mg/100g,125.3589496,mcg rae/100g,2.0823,mg/100g,280.8702,mg/100g,<LOQ,mcg/100g,0.1471,mg/100g,32.6570,mg/100g,0.0904,mg/100g,0.00144062,g/100g,0.00151695,g/100g,0.00012853,g/100g,0.00006998,g/100g,0.00005831,g/100g,0.0003294,g/100g,0.11472881,g/100g,<LOQ,g/100g,2.95350302,g/100g,0.46902717,g/100g,0.00143754,g/100g,0.3626621,g/100g,1.81206782,g/100g,0.21208244,g/100g,0.00935953,g/100g,0.05032549,g/100g,0.08114678,g/100g,0.07701953,g/100g,0.01902696,g/100g,0.33628435,g/100g,0.36067123,g/100g,0.0024798,g/100g,0.00807393,g/100g,0.00642129,g/100g,0.00660252,g/100g,0.03273572,g/100g,0.86155075,g/100g,1.03758491,mg/100g,0.00125964,g/100g,<LOQ,g/100g,0.01588834,g/100g,<LOQ,mcg/100g,3.444560663,mcg/100g,125.3589496,mcg rae/100g,16.66,g/100g,5.34660493,g/100g,4.12846467,g/100g,2.54958390,g/100g,1.57888077,g/100g,1.61480458,#,<LOQ,mcg/100g,3.22434193,mg/100g,0.01961431,mg/100g,<LOQ,g/100g,50.98,g/100g,2.3660902,g/100g,3.444560663,mcg/100g,<LOQ,mcg/100g,<LOQ,g/100g,0.13677926,mg/100g,0.16618942,g/100g,0.01312506,g/100g,0.13340671,g/100g,0.03659411,mg/100g,1.02225773,mg/100g,1.05292239,mg/100g,3.22434193,mg/100g,13.1530962,g/100g,0.05669212,g/100g,0.01312506,g/100g,0.02513884,g/100g,<LOQ,g/100g,<LOQ,g/100g,0.02456169,g/100g,0.12239416,g/100g,2.3555286,g/100g,0.01056157955,g/100g,11.7,mcg/100g,0.11777985,mg/100g,0.16311823,g/100g,4.77593103,g/100g,0.00307119,g/100g,<LOQ,mg/100g,<LOQ,mg/100g,0.00036748,mg/100g,0.00139204,mg/100g,0.01885158,mg/100g,<LOQ,mg/100g,9.65438408,g/100g,<LOQ,mg/100g,1.1837469,#,0.608,#,7.131386,#,1.05292239,mg ne/100g
