code,name,external_id,owner__name,collection_date (SAMPLE_COLLECTION.EDA:1149),results_completed_at,Undecylic Acid (C11:0),Undecylic Acid (C11:0) unit,Free Riboflavin,Free Riboflavin unit,Alpha-Tocopherol,Alpha-Tocopherol unit,Arsenic,Arsenic unit,Protein,Protein unit,Pentadecanoic Acid (C15:0),Pentadecanoic Acid (C15:0) unit,Cobalt,Cobalt unit,Cadmium,Cadmium unit,Heptadecanoic Acid (C17:0),Heptadecanoic Acid (C17:0) unit,Saturated Fat (SFA),Saturated Fat (SFA) unit,Calcium,Calcium unit,Iron,Iron unit,Sodium,Sodium unit,Free Niacin,Free Niacin unit,Free Thiamin,Free Thiamin unit,Vitamin E,Vitamin E unit,Cholesterol,Cholesterol unit,Pyridoxine,Pyridoxine unit,Selenium,Selenium unit,Potassium,Potassium unit,Tridecylic Acid (C13:0),Tridecylic Acid (C13:0) unit,Phosphorus,Phosphorus unit,Vitamin A,Vitamin A unit,Zinc,Zinc unit,Sulfur,Sulfur unit,Mercury,Mercury unit,Copper,Copper unit,Magnesium,Magnesium unit,Manganese,Manganese unit,Tricosanoic Acid (C23:0),Tricosanoic Acid (C23:0) unit,Butyric acid (C4:0),Butyric acid (C4:0) unit,Caproic Acid (C6:0),Caproic Acid (C6:0) unit,Caprylic acid (C8:0),Caprylic acid (C8:0) unit,Capric Acid (C10:0),Capric Acid (C10:0) unit,Lauric Acid (C12:0),Lauric Acid (C12:0) unit,Myristic Acid (C14:0),Myristic Acid (C14:0) unit,10-Pentadecenoic Acid (C15:1 cis-10),10-Pentadecenoic Acid (C15:1 cis-10) unit,Palmitic Acid (C16:0),Palmitic Acid (C16:0) unit,Palmitoleic Acid (C16:1 cis-9),Palmitoleic Acid (C16:1 cis-9) unit,Heptadecenoic Acid (C17:1 cis-10),Heptadecenoic Acid (C17:1 cis-10) unit,Stearic Acid (C18:0),Stearic Acid (C18:0) unit,"Linoleic Acid (C18:2 cis-9,12)","Linoleic Acid (C18:2 cis-9,12) unit","Gamma Linolenic Acid (C18:3 cis-6,9,12)","Gamma Linolenic Acid (C18:3 cis-6,9,12) unit",Arachidic Acid (C20:0),Arachidic Acid (C20:0) unit,Gondoic Acid (C20:1 cis-11),Gondoic Acid (C20:1 cis-11) unit,"Icosadienoic Acid (C20:2 cis-11,14)","Icosadienoic Acid (C20:2 cis-11,14) unit","Dihomo-Gamma Linolenic Acid (C20:3 cis-8,11,14)","Dihomo-Gamma Linolenic Acid (C20:3 cis-8,11,14) unit","Icosatrienoic Acid (C20:3 cis-11,14,17)","Icosatrienoic Acid (C20:3 cis-11,14,17) unit","Arachidonic Acid (C20:4 cis-5,8,11,14)","Arachidonic Acid (C20:4 cis-5,8,11,14) unit","Eicosapentaenoic acid (EPA) (C20:5 cis-5,8,11,14,17)","Eicosapentaenoic acid (EPA) (C20:5 cis-5,8,11,14,17) unit",Henicosanoic Acid (C21:0),Henicosanoic Acid (C21:0) unit,Behenic acid (C22:0),Behenic acid (C22:0) unit,"Docosadienoic Acid (C22:2 cis-13,16)","Docosadienoic Acid (C22:2 cis-13,16) unit",Lignoceric Acid (C24:0),Lignoceric Acid (C24:0) unit,Nervonic Acid (C24:1 cis-15),Nervonic Acid (C24:1 cis-15) unit,"Docosahexaenoic Acid (DHA) (C22:6 cis-4,7,10,13,16,19)","Docosahexaenoic Acid (DHA) (C22:6 cis-4,7,10,13,16,19) unit",Free Niacinamide,Free Niacinamide unit,Myristoleic Acid (C14:1 cis-9),Myristoleic Acid (C14:1 cis-9) unit,"Linoelaidic Acid (C18:2 trans-9,12)","Linoelaidic Acid (C18:2 trans-9,12) unit",Erucic Acid (C22:1 cis-13),Erucic Acid (C22:1 cis-13) unit,Lead,Lead unit,Cholecalciferol (Vitamin D3),Cholecalciferol (Vitamin D3) unit,Retinol,Retinol unit,Total Fats,Total Fats unit,Monounsaturated Fat (MUFA),Monounsaturated Fat (MUFA) unit,Polyunsaturated Fat (PUFA),Polyunsaturated Fat (PUFA) unit,Omega-6,Omega-6 unit,Omega-3,Omega-3 unit,Omega 6:3 Ratio,Omega 6:3 Ratio unit,Nickel,Nickel unit,Free Pantothenic Acid,Free Pantothenic Acid unit,Free Pyridoxal,Free Pyridoxal unit,"Rumenic Acid (C18:2 cis-9, trans-11)","Rumenic Acid (C18:2 cis-9, trans-11) unit",Moisture,Moisture unit,Total Micronutrients,Total Micronutrients unit,Vitamin D,Vitamin D unit,Ergocalciferol (Vitamin D2),Ergocalciferol (Vitamin D2) unit,Palmitelaidic Acid (C16:1 trans-9),Palmitelaidic Acid (C16:1 trans-9) unit,Vitamin B6 (Pyridoxal),Vitamin B6 (Pyridoxal) unit,Trans Fatty Acids (TFA),Trans Fatty Acids (TFA) unit,Conjugated Linoleic Acids,Conjugated Linoleic Acids unit,"Alpha Linolenic Acid (ALA) (C18:3 cis-9,12,15)","Alpha Linolenic Acid (ALA) (C18:3 cis-9,12,15) unit",Vitamin B1 (Thiamin),Vitamin B1 (Thiamin) unit,Vitamin B2 (Riboflavin),Vitamin B2 (Riboflavin) unit,"Niacin, Total","Niacin, Total unit",Vitamin B5 (Pantothenic Acid),Vitamin B5 (Pantothenic Acid) unit,Total Fatty Acids,Total Fatty Acids unit,"Stearidonic Acid (C18:4 cis-6,9,12,15)","Stearidonic Acid (C18:4 cis-6,9,12,15) unit","Conjugated Linoleic Acid (C18:2 trans-10, cis-12)","Conjugated Linoleic Acid (C18:2 trans-10, cis-12) unit","Heneicosapentaenoic Acid (C21:5 cis-6,9,12,15,18)","Heneicosapentaenoic Acid (C21:5 cis-6,9,12,15,18) unit","Docosatetraenoic Acid (C22:4 cis-4,10,13,16)","Docosatetraenoic Acid (C22:4 cis-4,10,13,16) unit","Docosatrienoic Acid (C22:3 cis-10,13,16)","Docosatrienoic Acid (C22:3 cis-10,13,16) unit","Docosapentaenoic Acid (C22:5 cis-4,7,10,13,16)","Docosapentaenoic Acid (C22:5 cis-4,7,10,13,16) unit","Docosapentaenoic Acid (C22:5 cis-7,10,13,16,19)","Docosapentaenoic Acid (C22:5 cis-7,10,13,16,19) unit",Total Minerals,Total Minerals unit,Total Vitamins,Total Vitamins unit,Total Heavy Metals,Total Heavy Metals unit,Pyridoxamine,Pyridoxamine unit,"C18:1, trans total","C18:1, trans total unit","C18:1, cis total","C18:1, cis total unit","C20:1, trans-11","C20:1, trans-11 unit",Thiamin Monophosphate,Thiamin Monophosphate unit,Thiamin Diphosphate,Thiamin Diphosphate unit,HMP Thiamin Derivative,HMP Thiamin Derivative unit,Flavin Mononucleotide (FMN),Flavin Mononucleotide (FMN) unit,Flavin Adenine Dinucleotide (FAD),Flavin Adenine Dinucleotide (FAD) unit,Pyridoxal Phosphate,Pyridoxal Phosphate unit,Unsaturated Fat,Unsaturated Fat unit,4-pyridoxic Acid,4-pyridoxic Acid unit,PUFA:SFA Ratio,PUFA:SFA Ratio unit,Fat:Protein Ratio,Fat:Protein Ratio unit,Sodium:Potassium Ratio,Sodium:Potassium Ratio unit,"Vitamin B3 (Niacin, NE)","Vitamin B3 (Niacin, NE) unit"
99DYM,Barramundi,,Seatopia,,2026-03-26,0.00004287,g/100g,0.05031835,mg/100g,1.640270217,mg/100g,191.2,mcg/100g,20.9,g/100g,0.00636179,g/100g,<LOQ,mcg/100g,<LOQ,mcg/100g,0.01064525,g/100g,0.8586490,g/100g,7.3590,mg/100g,0.2891,mg/100g,35.9400,mg/100g,0.03494041,mg/100g,80.81875,mcg/100g,1.640270217,mg/100g,62.25165901,mg/100g,0.00059145,mg/100g,22.5,mcg/100g,504.3548,mg/100g,0.00039775,g/100g,198.3687,mg/100g,0,mcg rae/100g,0.1080,mg/100g,249.1127,mg/100g,<LOQ,mcg/100g,0.0207,mg/100g,35.3680,mg/100g,0.0082,mg/100g,0.00089424,g/100g,0.00255845,g/100g,0.00026093,g/100g,0.00009617,g/100g,0.00018005,g/100g,0.00134867,g/100g,0.06360667,g/100g,<LOQ,g/100g,0.60308331,g/100g,0.09936284,g/100g,<LOQ,g/100g,0.1558022,g/100g,0.34304949,g/100g,0.01807272,g/100g,0.00670728,g/100g,0.0092881,g/100g,0.0065698,g/100g,0.01106093,g/100g,0.00161775,g/100g,0.0326762,g/100g,0.02590769,g/100g,0.00143522,g/100g,0.0033854,g/100g,<LOQ,g/100g,0.00184279,g/100g,0.00521415,g/100g,0.07556186,g/100g,3.12521452,mg/100g,0.00159736,g/100g,<LOQ,g/100g,0.00214382,g/100g,<LOQ,mcg/100g,<LOQ,mcg/100g,<LOQ,mcg rae/100g,2.61,g/100g,0.8234259,g/100g,0.5720683,g/100g,0.4212201,g/100g,0.1508483,g/100g,2.792343,#,<LOQ,mcg/100g,,,0.0105356,mg/100g,0.00111695,g/100g,74.67,g/100g,1.0358944,g/100g,0,mcg/100g,<LOQ,mcg/100g,<LOQ,g/100g,0.2753863,mg/100g,0.02797867,g/100g,0.00111695,g/100g,0.02729761,g/100g,0.10338979,mg/100g,0.1112866,mg/100g,3.18546917,mg/100g,,,2.2832388,g/100g,0.00478973,g/100g,<LOQ,g/100g,0.0017805,g/100g,<LOQ,g/100g,0.00227171,g/100g,0.00751921,g/100g,0.01389312,g/100g,1.0309517,g/100g,0.0049426893,g/100g,191.2,mcg/100g,0.00020609,mg/100g,0.02543069,g/100g,0.7058196,g/100g,0.00254798,g/100g,0.01455923,mg/100g,0.01824608,mg/100g,0.02362211,mg/100g,0.03667096,mg/100g,0.0641322,mg/100g,0.39033458,mg/100g,1.4245898,g/100g,<LOQ,mg/100g,0.6675431,#,0.125,#,0.071259,#,3.18546917,mg ne/100g
2XRGK,Barramundi,,Seatopia,,2026-03-26,0.00004932,g/100g,0.05990641,mg/100g,1.370507328,mg/100g,149.3,mcg/100g,21.5,g/100g,0.0032217,g/100g,<LOQ,mcg/100g,<LOQ,mcg/100g,0.00545507,g/100g,0.4767619,g/100g,8.6526,mg/100g,0.1675,mg/100g,44.3685,mg/100g,0.029186,mg/100g,49.10668,mcg/100g,1.370507328,mg/100g,63.24884687,mg/100g,0.00045258,mg/100g,19.0,mcg/100g,411.1489,mg/100g,0.00022034,g/100g,175.1829,mg/100g,0,mcg rae/100g,0.1015,mg/100g,243.5096,mg/100g,<LOQ,mcg/100g,0.0144,mg/100g,30.3113,mg/100g,0.0071,mg/100g,0.00057207,g/100g,0.00507733,g/100g,0.00026731,g/100g,0.00011321,g/100g,0.00012669,g/100g,0.00077192,g/100g,0.03984355,g/100g,<LOQ,g/100g,0.31113567,g/100g,0.04208503,g/100g,<LOQ,g/100g,0.10155869,g/100g,0.17848924,g/100g,0.00915692,g/100g,0.00383818,g/100g,0.00383575,g/100g,0.00298319,g/100g,0.00585852,g/100g,0.00077529,g/100g,0.02196672,g/100g,0.01465206,g/100g,0.00103741,g/100g,0.00206052,g/100g,<LOQ,g/100g,0.00141295,g/100g,0.00282103,g/100g,0.05133787,g/100g,2.29878953,mg/100g,0.00055958,g/100g,<LOQ,g/100g,0.00097836,g/100g,<LOQ,mcg/100g,<LOQ,mcg/100g,<LOQ,mcg rae/100g,1.82,g/100g,0.40873479,g/100g,0.314827,g/100g,0.22434087,g/100g,0.090487,g/100g,2.47927,#,<LOQ,mcg/100g,0.47381706,mg/100g,0.01135594,mg/100g,<LOQ,g/100g,77.05,g/100g,0.9177764,g/100g,0,mcg/100g,<LOQ,mcg/100g,<LOQ,g/100g,0.2045986,mg/100g,0.0224020,g/100g,0,g/100g,0.01343924,g/100g,0.0637388,mg/100g,0.1236174,mg/100g,2.346596,mg/100g,0.47381706,mg/100g,1.222726,g/100g,0.00197961,g/100g,<LOQ,g/100g,0.00073949,g/100g,<LOQ,g/100g,0.00124507,g/100g,0.00464121,g/100g,0.007563,g/100g,0.9134833,g/100g,0.004293122,g/100g,149.3,mcg/100g,0.00025033,mg/100g,0.02157314,g/100g,0.35845504,g/100g,0.0008289,g/100g,0.0086997,mg/100g,0.01273809,mg/100g,0.02328159,mg/100g,0.0470851,mg/100g,0.05193061,mg/100g,0.2846217,mg/100g,0.745964,g/100g,<LOQ,mg/100g,0.660345,#,0.085,#,0.107913,#,2.346596,mg ne/100g
H8U8G,Barramundi,,Seatopia,,2026-03-26,0.00005525,g/100g,0.02770624,mg/100g,1.633032977,mg/100g,155.6,mcg/100g,20.7,g/100g,0.01029795,g/100g,<LOQ,mcg/100g,<LOQ,mcg/100g,0.01707301,g/100g,1.40857955,g/100g,5.6834,mg/100g,0.2028,mg/100g,40.5454,mg/100g,0.0335742,mg/100g,100.15524,mcg/100g,1.633032977,mg/100g,62.25802571,mg/100g,0.00037635,mg/100g,19.5,mcg/100g,413.1581,mg/100g,0.00063266,g/100g,172.3464,mg/100g,0,mcg rae/100g,<LOQ,mg/100g,204.0899,mg/100g,<LOQ,mcg/100g,0.0163,mg/100g,28.9292,mg/100g,0.0063,mg/100g,0.00142144,g/100g,0.00364408,g/100g,0.00034769,g/100g,0.00012142,g/100g,0.00026021,g/100g,0.00207803,g/100g,0.09842527,g/100g,<LOQ,g/100g,0.99181332,g/100g,0.16593317,g/100g,<LOQ,g/100g,0.26110184,g/100g,0.56838253,g/100g,0.03094611,g/100g,0.01081654,g/100g,0.01571685,g/100g,0.01139904,g/100g,0.01610656,g/100g,0.00341528,g/100g,0.04591561,g/100g,0.04107717,g/100g,0.00227523,g/100g,0.00515026,g/100g,<LOQ,g/100g,0.00306535,g/100g,0.00614716,g/100g,0.11776836,g/100g,3.5460976,mg/100g,0.00231273,g/100g,<LOQ,g/100g,0.00282417,g/100g,<LOQ,mcg/100g,<LOQ,mcg/100g,<LOQ,mcg rae/100g,3.18,g/100g,1.3867272,g/100g,0.93508400,g/100g,0.68778472,g/100g,0.24729928,g/100g,2.7811837,#,<LOQ,mcg/100g,0.67770318,mg/100g,0.01032022,mg/100g,0.00175871,g/100g,75.79,g/100g,0.8710263,g/100g,0,mcg/100g,<LOQ,mcg/100g,<LOQ,g/100g,0.2533151,mg/100g,0.02842948,g/100g,0.00175871,g/100g,0.04746264,g/100g,0.12512217,mg/100g,0.08886253,mg/100g,3.6083952,mg/100g,0.67770318,mg/100g,3.7605789,g/100g,0.00856884,g/100g,<LOQ,g/100g,0.00341383,g/100g,<LOQ,g/100g,0.00381911,g/100g,0.01121576,g/100g,0.02559316,g/100g,0.8649973,g/100g,0.0060289660,g/100g,155.6,mcg/100g,0.0003089,mg/100g,0.02608633,g/100g,1.1937931,g/100g,0.00234315,g/100g,0.01686219,mg/100g,0.01924992,mg/100g,0.02779212,mg/100g,0.02762359,mg/100g,0.08009835,mg/100g,0.35819059,mg/100g,2.3519994,g/100g,<LOQ,mg/100g,0.66509748,#,0.154,#,0.098135,#,3.6083952,mg ne/100g
